dataset,seed,tau,mean_var_hard,mean_var_soft,effective_n,top_weight
german,7,0.02,0.0058140050951471815,0.011561853321018042,187.41536402651832,0.009766201217260927
german,7,0.05,0.0058140050951471815,0.01432095421010406,228.91794208041776,0.006076850866880029
german,8,0.001,0.000430365004793103,0.0008242701039825105,25.242930301208595,0.07432113027652984
german,8,0.005,0.000430365004793103,0.005990322158150282,56.36221907776597,0.027826552280796984
german,8,0.01,0.000430365004793103,0.009252158050810807,107.03575719850738,0.016123720358140615
german,8,0.02,0.000430365004793103,0.011687374378956719,168.6558109630366,0.009777593419161448
german,8,0.05,0.000430365004793103,0.014388308112364183,223.89235877145362,0.006178293462080654
german,9,0.001,0.003913158499026887,0.0015399184577861594,1.711564188734007,0.7522762121127645
german,9,0.005,0.003913158499026887,0.006685868435301276,58.584537440440464,0.06009487477819457
german,9,0.01,0.003913158499026887,0.009367013172933071,127.49719411189523,0.02171042892309144
german,9,0.02,0.003913158499026887,0.011803025819320929,186.60400873082355,0.010786330351035288
german,9,0.05,0.003913158499026887,0.014434227870763816,231.1392022858519,0.006286449996469197
breast_cancer,0,0.001,0.0035320450420748264,0.0005084994329192584,1.2779572980992195,0.876688200948655
breast_cancer,0,0.005,0.0035320450420748264,0.005181244861932821,17.801114700080028,0.17168787301551494
breast_cancer,0,0.01,0.0035320450420748264,0.007728496335299042,90.48138164601828,0.04356023342723655
breast_cancer,0,0.02,0.0035320450420748264,0.009263531784652269,162.8352100367497,0.01635576793232386
breast_cancer,0,0.05,0.0035320450420748264,0.011794950616010831,206.10370839615774,0.007961082090756227
breast_cancer,1,0.001,0.0029419790453446043,0.00029757889275743525,2.0680741405550003,0.5811431574458501
breast_cancer,1,0.005,0.0029419790453446043,0.004358759902935603,36.29337158670123,0.08686377579161168
breast_cancer,1,0.01,0.0029419790453446043,0.0053237202378779575,108.28614870770735,0.028322585577646008
breast_cancer,1,0.02,0.0029419790453446043,0.006321446300840335,173.05379601217322,0.01279310262488719
breast_cancer,1,0.05,0.0029419790453446043,0.008314463179449295,214.28466321090525,0.007043324880023942
breast_cancer,2,0.001,0.0032487118122231703,0.0011591499000124601,3.5316853671859376,0.4119781716956829
breast_cancer,2,0.005,0.0032487118122231703,0.004399242164251067,38.66515969348453,0.06918499045914905
breast_cancer,2,0.01,0.0032487118122231703,0.0056808274079017205,101.2508336036332,0.026140063542924964
breast_cancer,2,0.02,0.0032487118122231703,0.006763538903472105,155.67354428032405,0.01295823682446372
breast_cancer,2,0.05,0.0032487118122231703,0.009388990652204941,196.55152484794394,0.0074677922677636914
breast_cancer,3,0.001,0.006453415851812288,0.0002804744449600413,2.003223656102471,0.6428120367380108
breast_cancer,3,0.005,0.006453415851812288,0.005427821500442408,15.209405026831677,0.15263751962694425
breast_cancer,3,0.01,0.006453415851812288,0.008096423006997623,60.35557030651626,0.050288880885183795
