dataset,seed,method,quadrant,n_before,n_after,delta
adult,1,isotonic,C,8792,507,-8285
adult,1,isotonic,D,0,8285,8285
adult,1,isotonic,TOTAL_MOVED,9769,9769,8891
adult,2,platt,A,977,977,0
adult,2,platt,B,0,0,0
adult,2,platt,C,8792,8792,0
adult,2,platt,D,0,0,0
adult,2,platt,TOTAL_MOVED,9769,9769,462
adult,2,isotonic,A,977,615,-362
adult,2,isotonic,B,0,362,362
adult,2,isotonic,C,8792,365,-8427
adult,2,isotonic,D,0,8427,8427
adult,2,isotonic,TOTAL_MOVED,9769,9769,8909
adult,3,platt,A,977,977,0
adult,3,platt,B,0,0,0
adult,3,platt,C,8792,8792,0
adult,3,platt,D,0,0,0
adult,3,platt,TOTAL_MOVED,9769,9769,392
adult,3,isotonic,A,977,593,-384
adult,3,isotonic,B,0,384,384
adult,3,isotonic,C,8792,506,-8286
adult,3,isotonic,D,0,8286,8286
adult,3,isotonic,TOTAL_MOVED,9769,9769,8766
adult,4,platt,A,977,977,0
adult,4,platt,B,0,0,0
adult,4,platt,C,8792,8792,0
adult,4,platt,D,0,0,0
adult,4,platt,TOTAL_MOVED,9769,9769,436
adult,4,isotonic,A,977,977,0
adult,4,isotonic,B,0,0,0
adult,4,isotonic,C,8792,8792,0
adult,4,isotonic,D,0,0,0
adult,4,isotonic,TOTAL_MOVED,9769,9769,250
adult,5,platt,A,977,977,0
adult,5,platt,B,0,0,0
adult,5,platt,C,8792,8792,0
adult,5,platt,D,0,0,0
adult,5,platt,TOTAL_MOVED,9769,9769,444
adult,5,isotonic,A,977,594,-383
adult,5,isotonic,B,0,383,383
adult,5,isotonic,C,8792,414,-8378
adult,5,isotonic,D,0,8378,8378
adult,5,isotonic,TOTAL_MOVED,9769,9769,8858
adult,6,platt,A,977,977,0
adult,6,platt,B,0,0,0
adult,6,platt,C,8792,8792,0
adult,6,platt,D,0,0,0
adult,6,platt,TOTAL_MOVED,9769,9769,502
adult,6,isotonic,A,977,977,0
adult,6,isotonic,B,0,0,0
adult,6,isotonic,C,8792,8792,0
adult,6,isotonic,D,0,0,0
adult,6,isotonic,TOTAL_MOVED,9769,9769,328
adult,7,platt,A,590,744,154
adult,7,platt,B,387,233,-154
adult,7,platt,C,411,242,-169
adult,7,platt,D,8381,8550,169
adult,7,platt,TOTAL_MOVED,9769,9769,503
adult,7,isotonic,A,590,622,32
adult,7,isotonic,B,387,355,-32
adult,7,isotonic,C,411,425,14
adult,7,isotonic,D,8381,8367,-14
adult,7,isotonic,TOTAL_MOVED,9769,9769,478
adult,8,platt,A,977,977,0
adult,8,platt,B,0,0,0
adult,8,platt,C,8792,8792,0
adult,8,platt,D,0,0,0
adult,8,platt,TOTAL_MOVED,9769,9769,402
adult,8,isotonic,A,977,977,0
adult,8,isotonic,B,0,0,0
adult,8,isotonic,C,8792,8792,0
adult,8,isotonic,D,0,0,0
adult,8,isotonic,TOTAL_MOVED,9769,9769,292
adult,9,platt,A,977,977,0
adult,9,platt,B,0,0,0
adult,9,platt,C,8792,8792,0
adult,9,platt,D,0,0,0
adult,9,platt,TOTAL_MOVED,9769,9769,448
adult,9,isotonic,A,977,977,0
adult,9,isotonic,B,0,0,0
adult,9,isotonic,C,8792,8792,0
adult,9,isotonic,D,0,0,0
adult,9,isotonic,TOTAL_MOVED,9769,9769,270
