method,label,bootstrap,rule_rank,in_bag_support,in_bag_purity,oob_support,oob_purity,oob_lift,outer_seed
tree,HH,24,0,50,0.66,10,0.6,8.925773195876289,6
tree,HH,24,1,300,0.11333333333333333,113,0.08849557522123894,1.3164857221056474,6
tree,HH,24,2,12,0.75,3,0.6666666666666666,9.917525773195877,6
tree,HH,24,3,31,1.0,5,1.0,14.876288659793815,6
tree,HH,25,0,431,0.13921113689095127,162,0.1728395061728395,2.5712103856433752,6
tree,HH,25,1,10,0.6,1,1.0,14.876288659793815,6
tree,HH,25,2,28,1.0,11,0.8181818181818182,12.171508903467668,6
tree,HH,26,0,456,0.1513157894736842,164,0.13414634146341464,1.9955996982650241,6
tree,HH,26,1,14,0.5714285714285714,3,1.0,14.876288659793815,6
tree,HH,26,2,27,1.0,9,1.0,14.876288659793815,6
tree,HH,27,0,33,0.5454545454545454,12,0.6666666666666666,9.917525773195877,6
tree,HH,27,1,305,0.10491803278688525,121,0.10743801652892562,1.5982789469199967,6
tree,HH,27,2,10,0.3,1,1.0,14.876288659793815,6
tree,HH,27,3,11,0.6363636363636364,1,1.0,14.876288659793815,6
tree,HH,27,4,27,1.0,7,1.0,14.876288659793815,6
tree,HH,28,0,27,0.6296296296296297,21,0.5714285714285714,8.500736377025037,6
tree,HH,28,1,287,0.06968641114982578,124,0.13709677419354838,2.039491187229797,6
tree,HH,28,2,12,0.4166666666666667,4,1.0,14.876288659793815,6
tree,HH,28,3,30,1.0,3,1.0,14.876288659793815,6
tree,HH,29,0,31,0.5161290322580645,17,0.5882352941176471,8.750758035172833,6
tree,HH,29,1,290,0.07241379310344828,120,0.15833333333333333,2.3554123711340207,6
tree,HH,29,2,11,0.7272727272727273,0,0.0,0.0,6
tree,HH,29,3,34,1.0,8,0.875,13.016752577319588,6
tree,HH,30,0,16,0.3125,4,0.0,0.0,6
tree,HH,30,1,24,0.8333333333333334,8,0.875,13.016752577319588,6
tree,HH,30,2,197,0.16751269035532995,73,0.136986301369863,2.0378477616155912,6
tree,HH,30,3,12,0.9166666666666666,4,0.75,11.157216494845361,6
tree,HH,30,4,17,1.0,9,0.8888888888888888,13.223367697594503,6
tree,HH,31,0,45,0.6444444444444445,8,0.5,7.438144329896907,6
tree,HH,31,1,305,0.09508196721311475,109,0.11009174311926606,1.6377565497020716,6
tree,HH,31,2,13,0.9230769230769231,7,0.7142857142857143,10.625920471281297,6
tree,HH,31,3,17,1.0,7,1.0,14.876288659793815,6
tree,HH,32,0,300,0.19333333333333333,119,0.15966386554621848,2.3752057524040544,6
tree,HH,32,1,11,0.7272727272727273,2,0.5,7.438144329896907,6
tree,HH,32,2,24,1.0,7,1.0,14.876288659793815,6
tree,HH,33,0,395,0.14430379746835442,152,0.13157894736842105,1.9574064026044493,6
tree,HH,33,1,10,0.9,4,0.5,7.438144329896907,6
tree,HH,33,2,16,1.0,10,1.0,14.876288659793815,6
tree,HH,34,0,38,0.631578947368421,14,0.5,7.438144329896907,6
tree,HH,34,1,300,0.11333333333333333,118,0.09322033898305085,1.3867726716756947,6
tree,HH,34,2,11,0.8181818181818182,2,1.0,14.876288659793815,6
tree,HH,34,3,23,1.0,7,0.8571428571428571,12.751104565537556,6
tree,HH,35,0,16,0.1875,5,0.4,5.950515463917527,6
tree,HH,35,1,31,0.7741935483870968,6,0.8333333333333334,12.396907216494848,6
tree,HH,35,2,197,0.15736040609137056,84,0.13095238095238096,1.9480854197349045,6
tree,HH,35,3,201,0.06965174129353234,83,0.024096385542168676,0.3584647869829835,6
tree,HH,35,4,11,0.7272727272727273,5,1.0,14.876288659793815,6
tree,HH,35,5,15,1.0,9,1.0,14.876288659793815,6
tree,HH,36,0,411,0.15571776155717762,143,0.13286713286713286,1.976569821930647,6
tree,HH,36,1,11,0.7272727272727273,4,0.75,11.157216494845361,6
tree,HH,36,2,30,1.0,6,1.0,14.876288659793815,6
tree,HH,37,0,42,0.5476190476190477,13,0.6923076923076923,10.29896907216495,6
tree,HH,37,1,291,0.10652920962199312,118,0.1016949152542373,1.5128429145553033,6
tree,HH,37,2,11,0.8181818181818182,4,1.0,14.876288659793815,6
tree,HH,37,3,20,1.0,12,0.9166666666666666,13.63659793814433,6
tree,HH,38,0,319,0.18808777429467086,112,0.16964285714285715,2.523656111929308,6
tree,HH,38,1,13,0.7692307692307693,4,0.75,11.157216494845361,6
tree,HH,38,2,29,1.0,4,1.0,14.876288659793815,6
tree,HH,39,0,374,0.15775401069518716,128,0.140625,2.0919780927835054,6
tree,HH,39,1,14,0.5714285714285714,3,0.6666666666666666,9.917525773195877,6
tree,HH,39,2,23,1.0,8,1.0,14.876288659793815,6
