rule_rank,component_support,component_purity,component_recall,component_lift,component_base_rate,rule_text,features_used,rule_features,support,support_frac,purity,recall,lift,base_rate,n_hh_total,n_total,outer_seed,component_id,component_rank_by_size,component_size,component_share_of_hh,n_test
1,22,0.22727272727272727,0.16666666666666666,10.931818181818182,0.02079002079002079,priors_count > 14.5 AND age > 36.5 AND priors_count <= 19.5,"['priors_count', 'age']","priors_count, age",22,0.015246015246015246,0.22727272727272727,0.16666666666666666,10.931818181818182,0.02079002079002079,71,1443,5,2,2,30,0.4225352112676056,1443
0,217,0.2534562211981567,0.9649122807017544,6.4164443366480715,0.0395010395010395,age <= 25.5 AND c_charge_degree_M <= 0.5 AND priors_count <= 4.5,"['age', 'c_charge_degree_M', 'priors_count']","age, c_charge_degree_M, priors_count",217,0.15038115038115038,0.2534562211981567,0.9649122807017544,6.4164443366480715,0.0395010395010395,150,1443,6,2,1,57,0.38,1443
1,16,0.125,0.03508771929824561,3.164473684210526,0.0395010395010395,age > 25.5 AND age <= 26.5 AND priors_count <= 0.5,"['age', 'priors_count']","age, priors_count",16,0.011088011088011088,0.125,0.03508771929824561,3.164473684210526,0.0395010395010395,150,1443,6,2,1,57,0.38,1443
0,39,0.9743589743589743,0.8085106382978723,29.914893617021278,0.03257103257103257,priors_count > 13.5 AND priors_count > 14.5 AND priors_count > 17.5,['priors_count'],priors_count,39,0.02702702702702703,0.9743589743589743,0.8085106382978723,29.914893617021278,0.03257103257103257,150,1443,6,1,2,47,0.31333333333333335,1443
1,17,0.47058823529411764,0.1702127659574468,14.448060075093869,0.03257103257103257,priors_count > 13.5 AND priors_count > 14.5 AND priors_count <= 17.5,['priors_count'],priors_count,17,0.01178101178101178,0.47058823529411764,0.1702127659574468,14.448060075093869,0.03257103257103257,150,1443,6,1,2,47,0.31333333333333335,1443
2,6,0.16666666666666666,0.02127659574468085,5.117021276595745,0.03257103257103257,priors_count > 13.5 AND priors_count <= 14.5 AND age > 35,"['priors_count', 'age']","priors_count, age",6,0.004158004158004158,0.16666666666666666,0.02127659574468085,5.117021276595745,0.03257103257103257,150,1443,6,1,2,47,0.31333333333333335,1443
0,59,0.4406779661016949,1.0,24.45762711864407,0.018018018018018018,sex_Female > 0.5 AND c_charge_degree_M > 0.5 AND race_Caucasian <= 0.5,"['sex_Female', 'c_charge_degree_M', 'race_Caucasian']","sex_Female, c_charge_degree_M, race_Caucasian",59,0.040887040887040885,0.4406779661016949,1.0,24.45762711864407,0.018018018018018018,150,1443,6,3,3,26,0.17333333333333334,1443
0,265,0.45660377358490567,0.9097744360902256,4.953979287842247,0.09216909216909216,age <= 26.5 AND priors_count <= 2.5 AND race_Caucasian <= 0.5,"['age', 'priors_count', 'race_Caucasian']","age, priors_count, race_Caucasian",265,0.18364518364518365,0.45660377358490567,0.9097744360902256,4.953979287842247,0.09216909216909216,173,1443,7,0,1,133,0.7687861271676301,1443
1,77,0.07792207792207792,0.045112781954887216,0.845425251440289,0.09216909216909216,age <= 26.5 AND priors_count <= 2.5 AND race_Caucasian > 0.5,"['age', 'priors_count', 'race_Caucasian']","age, priors_count, race_Caucasian",77,0.05336105336105336,0.07792207792207792,0.045112781954887216,0.845425251440289,0.09216909216909216,173,1443,7,0,1,133,0.7687861271676301,1443
2,54,0.05555555555555555,0.022556390977443608,0.6027568922305764,0.09216909216909216,age <= 26.5 AND priors_count > 2.5 AND age <= 24.5,"['age', 'priors_count']","age, priors_count",54,0.037422037422037424,0.05555555555555555,0.022556390977443608,0.6027568922305764,0.09216909216909216,173,1443,7,0,1,133,0.7687861271676301,1443
3,52,0.057692307692307696,0.022556390977443608,0.6259398496240602,0.09216909216909216,age > 26.5 AND age <= 28.5 AND priors_count <= 1.5,"['age', 'priors_count']","age, priors_count",52,0.036036036036036036,0.057692307692307696,0.022556390977443608,0.6259398496240602,0.09216909216909216,173,1443,7,0,1,133,0.7687861271676301,1443
0,24,1.0,0.6,36.075,0.02772002772002772,priors_count > 15.5 AND priors_count > 17.5 AND age > 38,"['priors_count', 'age']","priors_count, age",24,0.016632016632016633,1.0,0.6,36.075,0.02772002772002772,173,1443,7,1,2,40,0.23121387283236994,1443
1,11,0.8181818181818182,0.225,29.515909090909094,0.02772002772002772,priors_count > 15.5 AND priors_count > 17.5 AND age <= 38,"['priors_count', 'age']","priors_count, age",11,0.007623007623007623,0.8181818181818182,0.225,29.515909090909094,0.02772002772002772,173,1443,7,1,2,40,0.23121387283236994,1443
2,8,0.75,0.15,27.056250000000002,0.02772002772002772,priors_count > 15.5 AND priors_count <= 17.5 AND race_African-American > 0.5,"['priors_count', 'race_African-American']","priors_count, race_African-American",8,0.005544005544005544,0.75,0.15,27.056250000000002,0.02772002772002772,173,1443,7,1,2,40,0.23121387283236994,1443
3,5,0.2,0.025,7.215000000000001,0.02772002772002772,priors_count > 15.5 AND priors_count <= 17.5 AND race_African-American <= 0.5,"['priors_count', 'race_African-American']","priors_count, race_African-American",5,0.003465003465003465,0.2,0.025,7.215000000000001,0.02772002772002772,173,1443,7,1,2,40,0.23121387283236994,1443
0,220,0.5045454545454545,0.7816901408450704,5.127176696542894,0.0984060984060984,age <= 26.5 AND priors_count <= 4.5 AND age <= 23.5,"['age', 'priors_count']","age, priors_count",220,0.15246015246015246,0.5045454545454545,0.7816901408450704,5.127176696542894,0.0984060984060984,200,1443,8,1,1,142,0.71,1443
1,157,0.18471337579617833,0.20422535211267606,1.87705212164708,0.0984060984060984,age <= 26.5 AND priors_count <= 4.5 AND age > 23.5,"['age', 'priors_count']","age, priors_count",157,0.1088011088011088,0.18471337579617833,0.20422535211267606,1.87705212164708,0.0984060984060984,200,1443,8,1,1,142,0.71,1443
2,15,0.06666666666666667,0.007042253521126761,0.6774647887323944,0.0984060984060984,age > 26.5 AND age <= 27.5 AND priors_count <= 0.5,"['age', 'priors_count']","age, priors_count",15,0.010395010395010396,0.06666666666666667,0.007042253521126761,0.6774647887323944,0.0984060984060984,200,1443,8,1,1,142,0.71,1443
3,9,0.1111111111111111,0.007042253521126761,1.1291079812206573,0.0984060984060984,age <= 26.5 AND priors_count > 4.5 AND age <= 23.5,"['age', 'priors_count']","age, priors_count",9,0.006237006237006237,0.1111111111111111,0.007042253521126761,1.1291079812206573,0.0984060984060984,200,1443,8,1,1,142,0.71,1443
0,33,0.8787878787878788,0.9666666666666667,42.269696969696966,0.02079002079002079,priors_count > 14.5 AND age > 33.5 AND age > 40.5,"['priors_count', 'age']","priors_count, age",33,0.02286902286902287,0.8787878787878788,0.9666666666666667,42.269696969696966,0.02079002079002079,200,1443,8,0,2,30,0.15,1443
1,18,0.05555555555555555,0.03333333333333333,2.672222222222222,0.02079002079002079,priors_count > 14.5 AND age > 33.5 AND age <= 40.5,"['priors_count', 'age']","priors_count, age",18,0.012474012474012475,0.05555555555555555,0.03333333333333333,2.672222222222222,0.02079002079002079,200,1443,8,0,2,30,0.15,1443
0,50,0.56,1.0,28.860000000000003,0.019404019404019403,sex_Male <= 0.5 AND age <= 25.5 AND c_charge_degree_F > 0.5,"['sex_Male', 'age', 'c_charge_degree_F']","sex_Male, age, c_charge_degree_F",50,0.03465003465003465,0.56,1.0,28.860000000000003,0.019404019404019403,200,1443,8,2,3,28,0.14,1443
0,74,0.13513513513513514,0.2222222222222222,4.333333333333333,0.031185031185031187,age > 42.5 AND age > 56.5 AND age <= 64.5,['age'],age,74,0.05128205128205128,0.13513513513513514,0.2222222222222222,4.333333333333333,0.031185031185031187,45,1443,9,0,1,45,1.0,1443
1,26,0.8461538461538461,0.4888888888888889,27.133333333333333,0.031185031185031187,age > 42.5 AND age > 56.5 AND age > 64.5,['age'],age,26,0.018018018018018018,0.8461538461538461,0.4888888888888889,27.133333333333333,0.031185031185031187,45,1443,9,0,1,45,1.0,1443
2,18,0.6111111111111112,0.24444444444444444,19.5962962962963,0.031185031185031187,age > 42.5 AND age <= 56.5 AND priors_count > 17.5,"['age', 'priors_count']","age, priors_count",18,0.012474012474012475,0.6111111111111112,0.24444444444444444,19.5962962962963,0.031185031185031187,45,1443,9,0,1,45,1.0,1443
3,6,0.3333333333333333,0.044444444444444446,10.688888888888888,0.031185031185031187,age <= 42.5 AND priors_count > 21.5,"['age', 'priors_count']","age, priors_count",6,0.004158004158004158,0.3333333333333333,0.044444444444444446,10.688888888888888,0.031185031185031187,45,1443,9,0,1,45,1.0,1443
