hp_name,ratio_of_sums,n_values,n_models,mean_V_m,grouping_type,n_groups,min_group_size,dataset,seed,family,pool_type,subset,K_actual
n_estimators,0.029680080051191365,3,50,0.00739929530133561,numeric_exact,3,15,compas,4,RF,full_pool,non_HH,50
weights,0.4652969421452825,2,50,0.0190342503480475,categorical_exact,2,24,compas,4,kNN,full_pool,non_HH,50
n_neighbors,0.07584503556263257,3,50,0.0190342503480475,numeric_tertile,3,16,compas,4,kNN,full_pool,non_HH,50
p,0.0001878963575232879,2,50,0.0190342503480475,numeric_exact,2,25,compas,4,kNN,full_pool,non_HH,50
learning_rate,0.2576408028658983,4,50,0.005553708113222435,numeric_exact,4,9,compas,5,GBM,full_pool,all,50
max_depth,0.11243517750326895,4,50,0.005553708113222435,numeric_exact,4,10,compas,5,GBM,full_pool,all,50
n_estimators,0.04734800478452411,3,50,0.005553708113222435,numeric_exact,3,16,compas,5,GBM,full_pool,all,50
subsample,0.01266247111366637,3,50,0.005553708113222435,numeric_exact,3,14,compas,5,GBM,full_pool,all,50
C,0.3517716215563569,3,50,0.005836340473102866,numeric_tertile,3,13,compas,5,LogReg,full_pool,all,50
l1_ratio,0.014424780676559062,3,50,0.005836340473102866,numeric_tertile,3,11,compas,5,LogReg,full_pool,all,50
learning_rate_init,0.11333055178920813,3,50,0.0020347496394415134,numeric_exact,3,14,compas,5,MLP,full_pool,all,50
hidden_layer_sizes,0.05410432638364515,5,50,0.0020347496394415134,categorical_exact,5,8,compas,5,MLP,full_pool,all,50
alpha,0.04987413861324709,4,50,0.0020347496394415134,numeric_exact,4,11,compas,5,MLP,full_pool,all,50
activation,0.029210940657358384,2,50,0.0020347496394415134,categorical_exact,2,25,compas,5,MLP,full_pool,all,50
max_depth,0.3794262883399011,4,42,0.006498842865096789,numeric_exact,4,9,compas,5,RF,full_pool,all,50
min_samples_split,0.16753625993920895,3,50,0.0064079030500191194,numeric_exact,3,12,compas,5,RF,full_pool,all,50
min_samples_leaf,0.11068491314920154,3,50,0.0064079030500191194,numeric_exact,3,12,compas,5,RF,full_pool,all,50
max_features,0.015091938426486548,3,50,0.0064079030500191194,categorical_exact,3,11,compas,5,RF,full_pool,all,50
n_estimators,0.012796996226999894,3,50,0.0064079030500191194,numeric_exact,3,12,compas,5,RF,full_pool,all,50
weights,0.2232865457905509,2,50,0.01868603276251811,categorical_exact,2,24,compas,5,kNN,full_pool,all,50
n_neighbors,0.19062979340285136,3,50,0.01868603276251811,numeric_tertile,3,14,compas,5,kNN,full_pool,all,50
p,2.2377784100386868e-08,2,50,0.01868603276251811,numeric_exact,2,25,compas,5,kNN,full_pool,all,50
learning_rate,0.3047460563681309,4,50,0.00709080649405587,numeric_exact,4,9,compas,5,GBM,full_pool,HH,50
max_depth,0.09470731612888345,4,50,0.00709080649405587,numeric_exact,4,10,compas,5,GBM,full_pool,HH,50
subsample,0.013241238213339059,3,50,0.00709080649405587,numeric_exact,3,14,compas,5,GBM,full_pool,HH,50
n_estimators,0.0019223703464118218,3,50,0.00709080649405587,numeric_exact,3,16,compas,5,GBM,full_pool,HH,50
C,0.32827155934113006,3,50,0.01008380876210192,numeric_tertile,3,13,compas,5,LogReg,full_pool,HH,50
l1_ratio,0.0113123817763093,3,50,0.01008380876210192,numeric_tertile,3,11,compas,5,LogReg,full_pool,HH,50
learning_rate_init,0.1004196248989242,3,50,0.002804223316429534,numeric_exact,3,14,compas,5,MLP,full_pool,HH,50
alpha,0.045989848506667826,4,50,0.002804223316429534,numeric_exact,4,11,compas,5,MLP,full_pool,HH,50
activation,0.04456527272879539,2,50,0.002804223316429534,categorical_exact,2,25,compas,5,MLP,full_pool,HH,50
hidden_layer_sizes,0.043892038088385946,5,50,0.002804223316429534,categorical_exact,5,8,compas,5,MLP,full_pool,HH,50
max_depth,0.4664371143178284,4,42,0.008243196277409279,numeric_exact,4,9,compas,5,RF,full_pool,HH,50
max_features,0.053833984214386704,3,50,0.007858883678741548,categorical_exact,3,11,compas,5,RF,full_pool,HH,50
min_samples_leaf,0.03207960644603267,3,50,0.007858883678741548,numeric_exact,3,12,compas,5,RF,full_pool,HH,50
min_samples_split,0.011787015024361197,3,50,0.007858883678741548,numeric_exact,3,12,compas,5,RF,full_pool,HH,50
n_estimators,0.008370250139594288,3,50,0.007858883678741548,numeric_exact,3,12,compas,5,RF,full_pool,HH,50
n_neighbors,0.23215182523531017,3,50,0.018059586176331032,numeric_tertile,3,14,compas,5,kNN,full_pool,HH,50
weights,0.21396036979063468,2,50,0.018059586176331032,categorical_exact,2,24,compas,5,kNN,full_pool,HH,50
p,0.003066622124196458,2,50,0.018059586176331032,numeric_exact,2,25,compas,5,kNN,full_pool,HH,50
learning_rate,0.2584515316455673,4,50,0.005519961619025667,numeric_exact,4,9,compas,5,GBM,full_pool,non_HH,50
max_depth,0.11394997026070955,4,50,0.005519961619025667,numeric_exact,4,10,compas,5,GBM,full_pool,non_HH,50
n_estimators,0.04936553412801291,3,50,0.005519961619025667,numeric_exact,3,16,compas,5,GBM,full_pool,non_HH,50
subsample,0.01321722369251138,3,50,0.005519961619025667,numeric_exact,3,14,compas,5,GBM,full_pool,non_HH,50
C,0.35236514988901363,3,50,0.0057430886905540214,numeric_tertile,3,13,compas,5,LogReg,full_pool,non_HH,50
l1_ratio,0.014546720666701922,3,50,0.0057430886905540214,numeric_tertile,3,11,compas,5,LogReg,full_pool,non_HH,50
learning_rate_init,0.11326412715421312,3,50,0.0020178560955416347,numeric_exact,3,14,compas,5,MLP,full_pool,non_HH,50
hidden_layer_sizes,0.05424137865238249,5,50,0.0020178560955416347,categorical_exact,5,8,compas,5,MLP,full_pool,non_HH,50
