family,hp,hp_col,n_models_total_family,n_models_used,n_groups,mean_ratio,median_ratio,p90_ratio,ratio_of_sums,dataset,seed,pool_type,subset
GBM,max_depth,hp_max_depth,25,25,3,0.21460878539567615,0.16316731929246886,0.48213717907255627,0.19156800953217973,compas,1,Rashomon,non_HH
GBM,subsample,hp_subsample,25,25,3,0.08092278096863764,0.0551820722296392,0.19316666848990752,0.07529849407727843,compas,1,Rashomon,non_HH
GBM,n_estimators,hp_n_estimators,25,25,3,0.07559753991154448,0.048847505484248196,0.17916660591507866,0.06888206644793307,compas,1,Rashomon,non_HH
LogReg,C,hp_C,25,25,11,0.8271936312843728,0.8657657838318991,0.9772425582308671,0.9086764429410009,compas,1,Rashomon,non_HH
LogReg,l1_ratio,hp_l1_ratio,25,25,5,0.11430613543958697,0.09092702919954397,0.17466307949190715,0.08401413009544542,compas,1,Rashomon,non_HH
MLP,learning_rate_init,hp_learning_rate_init,25,25,3,0.2185567227245805,0.19779298658162248,0.4511748290873672,0.28527169421675175,compas,1,Rashomon,non_HH
MLP,hidden_layer_sizes,hp_hidden_layer_sizes,25,25,5,0.14167288772489156,0.12541321831685787,0.25609087791194124,0.14649544769027129,compas,1,Rashomon,non_HH
MLP,activation,hp_activation,25,25,2,0.11859470519699508,0.07873000905415789,0.31794879413654853,0.1370814973078386,compas,1,Rashomon,non_HH
MLP,alpha,hp_alpha,25,25,4,0.10602169941484632,0.09983871239380515,0.1872192017687334,0.10569378089535479,compas,1,Rashomon,non_HH
RF,max_depth,hp_max_depth,25,25,4,0.5246821280400217,0.5529768647436122,0.9136014614947152,0.6216983737642947,compas,1,Rashomon,non_HH
RF,max_features,hp_max_features,25,16,2,0.22457825290867706,0.23888388012272793,0.37402771518657413,0.27669636683597526,compas,1,Rashomon,non_HH
RF,min_samples_leaf,hp_min_samples_leaf,25,25,3,0.13081670645346832,0.12639530986944228,0.22813812392217347,0.13875615328962118,compas,1,Rashomon,non_HH
RF,n_estimators,hp_n_estimators,25,25,3,0.0825929728930738,0.07535019521124287,0.1488538875981652,0.08638374897344572,compas,1,Rashomon,non_HH
RF,min_samples_split,hp_min_samples_split,25,25,3,0.04152160350255246,0.03186670249659862,0.09445389480601186,0.037740151846991976,compas,1,Rashomon,non_HH
kNN,n_neighbors,hp_n_neighbors,25,25,13,0.7805152426800689,0.8248551278687041,0.9686384903252918,0.7535106553897991,compas,1,Rashomon,non_HH
