dataset,family,pool_type,target_vm,feature_group,mean_importance,std_importance,top1_frequency,top3_frequency,mean_rank,n_reps_used,group_key
adult,MLP,Rashomon,V_m_nonHH,hp_alpha,0.04837434112777794,0.004676319337299481,0.0,0.0,4.666666666666667,12,adult|MLP|Rashomon|V_m_nonHH
adult,MLP,full_pool,V_m,validation_brier,0.49451298021320894,0.022191486657686808,1.0,1.0,1.0,12,adult|MLP|full_pool|V_m
adult,MLP,full_pool,V_m,hp_learning_rate_init,0.33316529516583154,0.018258253615631867,0.0,1.0,2.0,12,adult|MLP|full_pool|V_m
adult,MLP,full_pool,V_m,hp_hidden_layer_sizes,0.08523644080792776,0.008240590480041797,0.0,1.0,3.0,12,adult|MLP|full_pool|V_m
adult,MLP,full_pool,V_m,hp_alpha,0.045050889193279146,0.006446736665918731,0.0,0.0,4.25,12,adult|MLP|full_pool|V_m
adult,MLP,full_pool,V_m,hp_activation,0.04203439461975254,0.009517688281893229,0.0,0.0,4.75,12,adult|MLP|full_pool|V_m
adult,MLP,full_pool,V_m_HH,validation_brier,0.5220552646607283,0.025646607133190308,1.0,1.0,1.0,12,adult|MLP|full_pool|V_m_HH
adult,MLP,full_pool,V_m_HH,hp_learning_rate_init,0.27828544096263785,0.015900890741038322,0.0,1.0,2.0,12,adult|MLP|full_pool|V_m_HH
adult,MLP,full_pool,V_m_HH,hp_hidden_layer_sizes,0.10362319206417704,0.013013733317105728,0.0,1.0,3.0,12,adult|MLP|full_pool|V_m_HH
adult,MLP,full_pool,V_m_HH,hp_alpha,0.04944175085663335,0.008796475579541402,0.0,0.0,4.416666666666667,12,adult|MLP|full_pool|V_m_HH
adult,MLP,full_pool,V_m_HH,hp_activation,0.046594351455823434,0.008100054513088815,0.0,0.0,4.583333333333333,12,adult|MLP|full_pool|V_m_HH
adult,MLP,full_pool,V_m_nonHH,validation_brier,0.476583896368788,0.01366875981627762,1.0,1.0,1.0,12,adult|MLP|full_pool|V_m_nonHH
adult,MLP,full_pool,V_m_nonHH,hp_learning_rate_init,0.3624176777095758,0.015081737503970348,0.0,1.0,2.0,12,adult|MLP|full_pool|V_m_nonHH
adult,MLP,full_pool,V_m_nonHH,hp_hidden_layer_sizes,0.07551372839394431,0.007479361745502687,0.0,0.9166666666666666,3.0833333333333335,12,adult|MLP|full_pool|V_m_nonHH
adult,MLP,full_pool,V_m_nonHH,hp_alpha,0.04439316984615838,0.004842368898581065,0.0,0.0,4.25,12,adult|MLP|full_pool|V_m_nonHH
adult,MLP,full_pool,V_m_nonHH,hp_activation,0.04109152768153356,0.00998419251596361,0.0,0.08333333333333333,4.666666666666667,12,adult|MLP|full_pool|V_m_nonHH
adult,RF,Rashomon,V_m,validation_brier,0.4519725878306227,0.20119588668622776,0.4166666666666667,1.0,1.5833333333333333,12,adult|RF|Rashomon|V_m
adult,RF,Rashomon,V_m,hp_max_features,0.3968869078682907,0.20102129777502378,0.5833333333333334,1.0,1.5,12,adult|RF|Rashomon|V_m
adult,RF,Rashomon,V_m,hp_min_samples_leaf,0.055727961859881985,0.014878399007983212,0.0,0.5833333333333334,3.3333333333333335,12,adult|RF|Rashomon|V_m
adult,RF,Rashomon,V_m,hp_min_samples_split,0.03991337765501443,0.01711158626886787,0.0,0.3333333333333333,4.083333333333333,12,adult|RF|Rashomon|V_m
adult,RF,Rashomon,V_m,hp_max_depth,0.031144785194968074,0.011361337323230821,0.0,0.08333333333333333,5.0,12,adult|RF|Rashomon|V_m
adult,RF,Rashomon,V_m_HH,hp_max_features,0.466768497926056,0.14575802644218736,0.8333333333333334,1.0,1.1666666666666667,12,adult|RF|Rashomon|V_m_HH
adult,RF,Rashomon,V_m_HH,validation_brier,0.344452598661323,0.11073755602667093,0.16666666666666666,1.0,1.8333333333333333,12,adult|RF|Rashomon|V_m_HH
adult,RF,Rashomon,V_m_HH,hp_min_samples_leaf,0.09964216863376511,0.0381482529854245,0.0,0.9166666666666666,3.0833333333333335,12,adult|RF|Rashomon|V_m_HH
adult,RF,Rashomon,V_m_HH,hp_n_estimators,0.03577621048219129,0.017907171866850813,0.0,0.08333333333333333,4.666666666666667,12,adult|RF|Rashomon|V_m_HH
adult,RF,Rashomon,V_m_HH,hp_min_samples_split,0.0315178205597041,0.009955439286078087,0.0,0.0,4.416666666666667,12,adult|RF|Rashomon|V_m_HH
adult,RF,Rashomon,V_m_nonHH,validation_brier,0.44571840396590834,0.16711338825385313,0.4166666666666667,1.0,1.5833333333333333,12,adult|RF|Rashomon|V_m_nonHH
adult,RF,Rashomon,V_m_nonHH,hp_max_features,0.38726871551415565,0.16819921919447903,0.5833333333333334,1.0,1.5,12,adult|RF|Rashomon|V_m_nonHH
adult,RF,Rashomon,V_m_nonHH,hp_min_samples_leaf,0.06388555501753727,0.02401049812987232,0.0,0.75,3.25,12,adult|RF|Rashomon|V_m_nonHH
adult,RF,Rashomon,V_m_nonHH,hp_max_depth,0.04187255929043551,0.01756407052716635,0.0,0.08333333333333333,4.583333333333333,12,adult|RF|Rashomon|V_m_nonHH
adult,RF,Rashomon,V_m_nonHH,hp_min_samples_split,0.038344786287043894,0.01659135569330992,0.0,0.16666666666666666,4.25,12,adult|RF|Rashomon|V_m_nonHH
adult,RF,full_pool,V_m,validation_brier,0.6921551881235618,0.03810089671334294,1.0,1.0,1.0,12,adult|RF|full_pool|V_m
adult,RF,full_pool,V_m,hp_max_features,0.20321985008309318,0.021836857538815483,0.0,1.0,2.0,12,adult|RF|full_pool|V_m
adult,RF,full_pool,V_m,hp_max_depth,0.05068020646191953,0.01716202064495977,0.0,0.6666666666666666,3.3333333333333335,12,adult|RF|full_pool|V_m
adult,RF,full_pool,V_m,hp_min_samples_leaf,0.037408349261042244,0.00632722051417004,0.0,0.3333333333333333,3.6666666666666665,12,adult|RF|full_pool|V_m
adult,RF,full_pool,V_m,hp_min_samples_split,0.011896884147193818,0.0066327385186052065,0.0,0.0,5.0,12,adult|RF|full_pool|V_m
adult,RF,full_pool,V_m_HH,validation_brier,0.7781676252229727,0.037052551556088914,1.0,1.0,1.0,12,adult|RF|full_pool|V_m_HH
