hp_name,ratio_of_sums,n_values,n_models,mean_V_m,grouping_type,n_groups,min_group_size,dataset,seed,family,pool_type,subset,K_actual
n_neighbors,0.5123533596605624,3,25,0.005262897637137466,numeric_tertile,3,3,german,3,kNN,Rashomon,non_HH,25
p,0.05639291511758928,2,25,0.005262897637137466,numeric_exact,2,10,german,3,kNN,Rashomon,non_HH,25
weights,0.0033667780335062377,2,25,0.005262897637137466,categorical_exact,2,11,german,3,kNN,Rashomon,non_HH,25
learning_rate,0.5355505469331171,4,25,0.005877161290888889,numeric_exact,4,3,german,4,GBM,Rashomon,all,25
n_estimators,0.13542988579318624,3,25,0.005877161290888889,numeric_exact,3,6,german,4,GBM,Rashomon,all,25
subsample,0.08901691700370004,3,25,0.005877161290888889,numeric_exact,3,7,german,4,GBM,Rashomon,all,25
max_depth,0.08459337060784328,4,25,0.005877161290888889,numeric_exact,4,4,german,4,GBM,Rashomon,all,25
C,0.4244372462674051,3,25,0.0010515151925494055,numeric_tertile,3,5,german,4,LogReg,Rashomon,all,25
l1_ratio,0.058162146082881734,3,25,0.0010515151925494055,numeric_tertile,3,5,german,4,LogReg,Rashomon,all,25
hidden_layer_sizes,0.10785539372849362,5,25,0.007868239478313728,categorical_exact,5,4,german,4,MLP,Rashomon,all,25
learning_rate_init,0.06715615327406181,2,25,0.007868239478313728,numeric_exact,2,11,german,4,MLP,Rashomon,all,25
alpha,0.05036293512053192,4,25,0.007868239478313728,numeric_exact,4,5,german,4,MLP,Rashomon,all,25
activation,0.03497546626882084,2,25,0.007868239478313728,categorical_exact,2,12,german,4,MLP,Rashomon,all,25
min_samples_leaf,0.2678921281281615,3,25,0.0027390415193731753,numeric_exact,3,4,german,4,RF,Rashomon,all,25
n_estimators,0.23518602751201217,3,25,0.0027390415193731753,numeric_exact,3,7,german,4,RF,Rashomon,all,25
min_samples_split,0.10179390714942368,3,25,0.0027390415193731753,numeric_exact,3,4,german,4,RF,Rashomon,all,25
max_depth,0.03459278970147649,3,16,0.0028074030562247713,numeric_exact,3,4,german,4,RF,Rashomon,all,25
max_features,0.02272068601094118,2,24,0.00268725427750801,categorical_exact,2,11,german,4,RF,Rashomon,all,25
n_neighbors,0.7021819199475606,3,25,0.003862993542797675,numeric_tertile,3,3,german,4,kNN,Rashomon,all,25
p,0.0057513355099704936,2,25,0.003862993542797675,numeric_exact,2,10,german,4,kNN,Rashomon,all,25
weights,0.004996792923771781,2,25,0.003862993542797675,categorical_exact,2,12,german,4,kNN,Rashomon,all,25
learning_rate,0.5358483728400866,4,25,0.005870913202438532,numeric_exact,4,3,german,4,GBM,Rashomon,non_HH,25
n_estimators,0.1350849743139123,3,25,0.005870913202438532,numeric_exact,3,6,german,4,GBM,Rashomon,non_HH,25
subsample,0.08804849011477854,3,25,0.005870913202438532,numeric_exact,3,7,german,4,GBM,Rashomon,non_HH,25
max_depth,0.08727564682974136,4,25,0.005870913202438532,numeric_exact,4,4,german,4,GBM,Rashomon,non_HH,25
C,0.4266726224180523,3,25,0.0010432776171862927,numeric_tertile,3,5,german,4,LogReg,Rashomon,non_HH,25
l1_ratio,0.05800847151575387,3,25,0.0010432776171862927,numeric_tertile,3,5,german,4,LogReg,Rashomon,non_HH,25
hidden_layer_sizes,0.10751147028417869,5,25,0.007741403415469861,categorical_exact,5,4,german,4,MLP,Rashomon,non_HH,25
learning_rate_init,0.07556410679784281,2,25,0.007741403415469861,numeric_exact,2,11,german,4,MLP,Rashomon,non_HH,25
alpha,0.04574384498099234,4,25,0.007741403415469861,numeric_exact,4,5,german,4,MLP,Rashomon,non_HH,25
activation,0.037624332318023576,2,25,0.007741403415469861,categorical_exact,2,12,german,4,MLP,Rashomon,non_HH,25
min_samples_leaf,0.27922255012189756,3,25,0.002734212333768291,numeric_exact,3,4,german,4,RF,Rashomon,non_HH,25
n_estimators,0.24175539723109293,3,25,0.002734212333768291,numeric_exact,3,7,german,4,RF,Rashomon,non_HH,25
min_samples_split,0.09995108931733734,3,25,0.002734212333768291,numeric_exact,3,4,german,4,RF,Rashomon,non_HH,25
max_depth,0.03645066812209248,3,16,0.002804277034708656,numeric_exact,3,4,german,4,RF,Rashomon,non_HH,25
max_features,0.023132394901748322,2,24,0.002683636808597616,categorical_exact,2,11,german,4,RF,Rashomon,non_HH,25
n_neighbors,0.6879758141861232,3,25,0.0038300103299879636,numeric_tertile,3,3,german,4,kNN,Rashomon,non_HH,25
p,0.007030198068764182,2,25,0.0038300103299879636,numeric_exact,2,10,german,4,kNN,Rashomon,non_HH,25
weights,0.004858857479944155,2,25,0.0038300103299879636,categorical_exact,2,12,german,4,kNN,Rashomon,non_HH,25
learning_rate,0.2846095557437552,4,25,0.009236478306388216,numeric_exact,4,2,german,5,GBM,Rashomon,all,25
n_estimators,0.03133152925514886,3,25,0.009236478306388216,numeric_exact,3,6,german,5,GBM,Rashomon,all,25
subsample,0.023369550431419243,3,25,0.009236478306388216,numeric_exact,3,6,german,5,GBM,Rashomon,all,25
max_depth,0.023340520479035662,4,25,0.009236478306388216,numeric_exact,4,2,german,5,GBM,Rashomon,all,25
C,0.2742870822532651,3,25,0.0017980927199922614,numeric_tertile,3,4,german,5,LogReg,Rashomon,all,25
l1_ratio,0.007005947202673792,3,25,0.0017980927199922614,numeric_tertile,3,5,german,5,LogReg,Rashomon,all,25
learning_rate_init,0.5666431972341225,2,25,0.00682717172252577,numeric_exact,2,12,german,5,MLP,Rashomon,all,25
hidden_layer_sizes,0.22856231246288802,5,25,0.00682717172252577,categorical_exact,5,4,german,5,MLP,Rashomon,all,25
alpha,0.19329798984576513,4,25,0.00682717172252577,numeric_exact,4,4,german,5,MLP,Rashomon,all,25
activation,0.015411100059107884,2,25,0.00682717172252577,categorical_exact,2,12,german,5,MLP,Rashomon,all,25
max_features,0.8574536969379178,3,25,0.002743677120436964,categorical_exact,3,7,german,5,RF,Rashomon,all,25
n_estimators,0.33678972876304586,3,25,0.002743677120436964,numeric_exact,3,7,german,5,RF,Rashomon,all,25
min_samples_leaf,0.16175885719600133,2,25,0.002743677120436964,numeric_exact,2,9,german,5,RF,Rashomon,all,25
max_depth,0.12369244036718739,3,21,0.0025973208324661483,numeric_exact,3,6,german,5,RF,Rashomon,all,25
min_samples_split,0.08579452744424372,3,25,0.002743677120436964,numeric_exact,3,8,german,5,RF,Rashomon,all,25
n_neighbors,0.46745776371054154,3,25,0.00691677687803752,numeric_tertile,3,7,german,5,kNN,Rashomon,all,25
p,0.10422507911715276,2,25,0.00691677687803752,numeric_exact,2,12,german,5,kNN,Rashomon,all,25
weights,9.5143037095612e-05,2,25,0.00691677687803752,categorical_exact,2,8,german,5,kNN,Rashomon,all,25
learning_rate,0.2907433141918323,4,25,0.0090223712897868,numeric_exact,4,2,german,5,GBM,Rashomon,non_HH,25
subsample,0.026086473904097705,3,25,0.0090223712897868,numeric_exact,3,6,german,5,GBM,Rashomon,non_HH,25
max_depth,0.023038937836524276,4,25,0.0090223712897868,numeric_exact,4,2,german,5,GBM,Rashomon,non_HH,25
