hp_name,ratio_of_sums,n_values,n_models,mean_V_m,grouping_type,n_groups,min_group_size,dataset,seed,family,pool_type,subset,K_actual
max_features,0.007286104446143149,2,25,0.0007476526696210442,categorical_exact,2,11,german,6,RF,Rashomon,all,25
n_neighbors,0.6329179909427027,3,25,0.00587592379879532,numeric_tertile,3,3,german,6,kNN,Rashomon,all,25
weights,0.04664102288937272,2,25,0.00587592379879532,categorical_exact,2,10,german,6,kNN,Rashomon,all,25
p,0.008858781554850205,2,25,0.00587592379879532,numeric_exact,2,9,german,6,kNN,Rashomon,all,25
n_estimators,0.3721959432375488,3,25,0.006104312558500683,numeric_exact,3,7,german,7,GBM,Rashomon,all,25
max_depth,0.09849525866157624,4,25,0.006104312558500683,numeric_exact,4,4,german,7,GBM,Rashomon,all,25
learning_rate,0.07807066425820777,4,25,0.006104312558500683,numeric_exact,4,2,german,7,GBM,Rashomon,all,25
subsample,0.07521552253933536,3,25,0.006104312558500683,numeric_exact,3,8,german,7,GBM,Rashomon,all,25
C,0.16821638257104268,3,25,0.0020933365773327566,numeric_tertile,3,6,german,7,LogReg,Rashomon,all,25
l1_ratio,0.015921415754235498,3,25,0.0020933365773327566,numeric_tertile,3,2,german,7,LogReg,Rashomon,all,25
hidden_layer_sizes,0.23567763071084638,5,25,0.006986328426384726,categorical_exact,5,2,german,7,MLP,Rashomon,all,25
alpha,0.15246649465155473,4,25,0.006986328426384726,numeric_exact,4,3,german,7,MLP,Rashomon,all,25
learning_rate_init,0.04224798443148022,2,24,0.0062452709606928775,numeric_exact,2,11,german,7,MLP,Rashomon,all,25
activation,0.004658995526882552,2,25,0.006986328426384726,categorical_exact,2,9,german,7,MLP,Rashomon,all,25
max_features,0.6087431068664649,3,25,0.0019999463667644494,categorical_exact,3,2,german,7,RF,Rashomon,all,25
n_estimators,0.32870964642563927,3,25,0.0019999463667644494,numeric_exact,3,7,german,7,RF,Rashomon,all,25
max_depth,0.07653414674983569,4,21,0.00192087771711389,numeric_exact,4,2,german,7,RF,Rashomon,all,25
min_samples_split,0.048384056719322846,3,25,0.0019999463667644494,numeric_exact,3,6,german,7,RF,Rashomon,all,25
min_samples_leaf,0.040466443241045806,3,25,0.0019999463667644494,numeric_exact,3,7,german,7,RF,Rashomon,all,25
n_neighbors,0.402697822413394,3,25,0.007113553686371244,numeric_tertile,3,3,german,7,kNN,Rashomon,all,25
p,0.0218117398832244,2,25,0.007113553686371244,numeric_exact,2,11,german,7,kNN,Rashomon,all,25
weights,0.018112837506375264,2,25,0.007113553686371244,categorical_exact,2,10,german,7,kNN,Rashomon,all,25
