family,hp,hp_col,n_models_total_family,n_models_used,n_groups,mean_ratio,median_ratio,p90_ratio,ratio_of_sums,dataset,seed,pool_type,subset
RF,max_features,hp_max_features,25,13,2,0.28991033432954205,0.26571946179585226,0.6092499067428556,0.3125900462807883,adult,1,Rashomon,all
RF,max_depth,hp_max_depth,25,19,3,0.1754097164244486,0.11165223601486175,0.4417526259196546,0.14203785358731255,adult,1,Rashomon,all
RF,min_samples_split,hp_min_samples_split,25,25,3,0.09413254092358721,0.07591699458088455,0.19386833899884248,0.09908511858641188,adult,1,Rashomon,all
RF,min_samples_leaf,hp_min_samples_leaf,25,25,3,0.09585584721778695,0.07193544628511105,0.20388602052275487,0.09243458857710024,adult,1,Rashomon,all
RF,n_estimators,hp_n_estimators,25,25,3,0.05999292290853812,0.04478532515723093,0.13238260038334504,0.0702698086689099,adult,1,Rashomon,all
kNN,n_neighbors,hp_n_neighbors,25,25,9,0.6074597471287259,0.6990262129577735,0.9478799062063846,0.5596682481679589,adult,1,Rashomon,all
kNN,p,hp_p,25,25,2,0.12456018906883014,0.04082271890678438,0.38449999633961507,0.26962039575386004,adult,1,Rashomon,all
kNN,weights,hp_weights,25,25,2,0.05100558765373364,0.009541222421312879,0.12735958035610137,0.13123794301635813,adult,1,Rashomon,all
GBM,max_depth,hp_max_depth,25,25,4,0.20954956313594003,0.1370794826909716,0.5229907290749827,0.2914084660818158,adult,1,Rashomon,HH
GBM,learning_rate,hp_learning_rate,25,25,4,0.2120091641205764,0.1675343094674596,0.4542555095257321,0.12691824550268624,adult,1,Rashomon,HH
GBM,subsample,hp_subsample,25,25,3,0.08231477970941162,0.05062637568218479,0.20663288036735497,0.1008707301169645,adult,1,Rashomon,HH
GBM,n_estimators,hp_n_estimators,25,25,3,0.08744467444329901,0.0757211852704005,0.1783841988383104,0.09370131799271374,adult,1,Rashomon,HH
LogReg,C,hp_C,25,25,10,0.7571002518104853,0.8756346065725222,0.9863948833987838,0.9268434996252392,adult,1,Rashomon,HH
LogReg,l1_ratio,hp_l1_ratio,25,25,5,0.15657201116850955,0.1391018339879666,0.24077611916829006,0.12547378732934103,adult,1,Rashomon,HH
MLP,learning_rate_init,hp_learning_rate_init,25,25,3,0.17311131569521543,0.13529974444065576,0.3784786265525287,0.1805814983677777,adult,1,Rashomon,HH
MLP,hidden_layer_sizes,hp_hidden_layer_sizes,25,25,5,0.16266278639693388,0.14218494226211068,0.29878883461307965,0.16919856480257336,adult,1,Rashomon,HH
MLP,alpha,hp_alpha,25,25,4,0.14241473595179915,0.12179231442424245,0.2729876362746437,0.13329920048905378,adult,1,Rashomon,HH
MLP,activation,hp_activation,25,25,2,0.13823277706440323,0.08298969815891233,0.3754356610126989,0.12699103277977664,adult,1,Rashomon,HH
RF,max_features,hp_max_features,25,13,2,0.3229952589289488,0.27625482129340456,0.7163601594780471,0.425286931612146,adult,1,Rashomon,HH
RF,min_samples_split,hp_min_samples_split,25,25,3,0.12406081766050535,0.12987494151434847,0.21188109639010955,0.1350503713543319,adult,1,Rashomon,HH
RF,max_depth,hp_max_depth,25,19,3,0.14405505351280345,0.10780708267854917,0.3443086061756791,0.11253641266905569,adult,1,Rashomon,HH
RF,n_estimators,hp_n_estimators,25,25,3,0.07036894225830803,0.060288879511080314,0.1321743721759681,0.07579145744457244,adult,1,Rashomon,HH
RF,min_samples_leaf,hp_min_samples_leaf,25,25,3,0.09834978743426491,0.07062359446896231,0.2142361003660051,0.07543465824362901,adult,1,Rashomon,HH
kNN,p,hp_p,25,25,2,0.31907162186169874,0.2143486343656828,0.8131300056814975,0.577246662473035,adult,1,Rashomon,HH
kNN,n_neighbors,hp_n_neighbors,25,25,9,0.5900152718268549,0.6244460258367077,0.9044709425518096,0.4352068178818373,adult,1,Rashomon,HH
kNN,weights,hp_weights,25,25,2,0.029307661854536912,0.007225021427654304,0.06682183406141978,0.02030918980761488,adult,1,Rashomon,HH
GBM,max_depth,hp_max_depth,25,25,4,0.1724200245742837,0.12404735670286415,0.3855532976238884,0.21722855287627624,adult,1,Rashomon,non_HH
GBM,learning_rate,hp_learning_rate,25,25,4,0.2578725860890125,0.1999003638810644,0.5737483128651759,0.1203853994142924,adult,1,Rashomon,non_HH
GBM,subsample,hp_subsample,25,25,3,0.09261459604491373,0.06666425235177448,0.21199466454404273,0.10521631946365048,adult,1,Rashomon,non_HH
