dataset,seed,pool_type,subset,family,hyperparameter,value_or_group,metric_name,metric_value
adult,1,Rashomon,HH,GBM,max_depth,,decomp_ratio_of_sums,0.2914084660818158
adult,1,Rashomon,HH,GBM,learning_rate,,decomp_ratio_of_sums,0.12691824550268624
adult,1,Rashomon,HH,GBM,subsample,,decomp_ratio_of_sums,0.1008707301169645
adult,1,Rashomon,HH,GBM,n_estimators,,decomp_ratio_of_sums,0.09370131799271374
adult,1,Rashomon,HH,LogReg,C,,decomp_ratio_of_sums,0.9268434996252392
adult,1,Rashomon,HH,LogReg,l1_ratio,,decomp_ratio_of_sums,0.12547378732934103
adult,1,Rashomon,HH,MLP,learning_rate_init,,decomp_ratio_of_sums,0.1805814983677777
adult,1,Rashomon,HH,MLP,hidden_layer_sizes,,decomp_ratio_of_sums,0.16919856480257336
adult,1,Rashomon,HH,MLP,alpha,,decomp_ratio_of_sums,0.13329920048905378
adult,1,Rashomon,HH,MLP,activation,,decomp_ratio_of_sums,0.12699103277977664
adult,1,Rashomon,HH,RF,max_features,,decomp_ratio_of_sums,0.425286931612146
adult,1,Rashomon,HH,RF,min_samples_split,,decomp_ratio_of_sums,0.1350503713543319
adult,1,Rashomon,HH,RF,max_depth,,decomp_ratio_of_sums,0.11253641266905569
adult,1,Rashomon,HH,RF,n_estimators,,decomp_ratio_of_sums,0.07579145744457244
adult,1,Rashomon,HH,RF,min_samples_leaf,,decomp_ratio_of_sums,0.07543465824362901
adult,1,Rashomon,HH,kNN,p,,decomp_ratio_of_sums,0.577246662473035
adult,1,Rashomon,HH,kNN,n_neighbors,,decomp_ratio_of_sums,0.4352068178818373
adult,1,Rashomon,HH,kNN,weights,,decomp_ratio_of_sums,0.02030918980761488
adult,1,Rashomon,non_HH,GBM,max_depth,,decomp_ratio_of_sums,0.21722855287627624
adult,1,Rashomon,non_HH,GBM,learning_rate,,decomp_ratio_of_sums,0.1203853994142924
adult,1,Rashomon,non_HH,GBM,subsample,,decomp_ratio_of_sums,0.10521631946365048
adult,1,Rashomon,non_HH,GBM,n_estimators,,decomp_ratio_of_sums,0.10014150960187768
adult,1,Rashomon,non_HH,LogReg,C,,decomp_ratio_of_sums,0.9219746977160322
adult,1,Rashomon,non_HH,LogReg,l1_ratio,,decomp_ratio_of_sums,0.11903909746963903
adult,1,Rashomon,non_HH,MLP,hidden_layer_sizes,,decomp_ratio_of_sums,0.1587886115027399
adult,1,Rashomon,non_HH,MLP,learning_rate_init,,decomp_ratio_of_sums,0.15710711501603367
adult,1,Rashomon,non_HH,MLP,alpha,,decomp_ratio_of_sums,0.13794194844554042
adult,1,Rashomon,non_HH,MLP,activation,,decomp_ratio_of_sums,0.07969080961352466
adult,1,Rashomon,non_HH,RF,max_features,,decomp_ratio_of_sums,0.27283509111204074
adult,1,Rashomon,non_HH,RF,max_depth,,decomp_ratio_of_sums,0.1564228958833647
adult,1,Rashomon,non_HH,RF,min_samples_leaf,,decomp_ratio_of_sums,0.10071049267016491
adult,1,Rashomon,non_HH,RF,min_samples_split,,decomp_ratio_of_sums,0.08157651844796897
adult,1,Rashomon,non_HH,RF,n_estimators,,decomp_ratio_of_sums,0.0675817602589115
adult,1,Rashomon,non_HH,kNN,n_neighbors,,decomp_ratio_of_sums,0.6126820547377324
adult,1,Rashomon,non_HH,kNN,weights,,decomp_ratio_of_sums,0.1784875644622576
adult,1,Rashomon,non_HH,kNN,p,,decomp_ratio_of_sums,0.1385883213020337
adult,1,Rashomon,all,GBM,learning_rate,,vm_between_group_ratio,0.24859760211690776
adult,1,Rashomon,all,GBM,max_depth,,vm_between_group_ratio,0.24522357657714947
adult,1,Rashomon,all,GBM,n_estimators,,vm_between_group_ratio,0.07760104013888741
adult,1,Rashomon,all,GBM,subsample,,vm_between_group_ratio,0.00867009238147976
adult,1,Rashomon,all,LogReg,C,,vm_between_group_ratio,0.17500315837302258
adult,1,Rashomon,all,LogReg,l1_ratio,,vm_between_group_ratio,0.035649028484791706
adult,1,Rashomon,all,MLP,learning_rate_init,,vm_between_group_ratio,0.5047301399495244
adult,1,Rashomon,all,MLP,alpha,,vm_between_group_ratio,0.09945350394172366
adult,1,Rashomon,all,MLP,hidden_layer_sizes,,vm_between_group_ratio,0.09768011333279542
adult,1,Rashomon,all,MLP,activation,,vm_between_group_ratio,0.007279958360276418
adult,1,Rashomon,all,RF,max_features,,vm_between_group_ratio,0.551116853914643
adult,1,Rashomon,all,RF,n_estimators,,vm_between_group_ratio,0.26867352090001795
adult,1,Rashomon,all,RF,max_depth,,vm_between_group_ratio,0.11185317747174849
adult,1,Rashomon,all,RF,min_samples_split,,vm_between_group_ratio,0.09567007885293276
adult,1,Rashomon,all,RF,min_samples_leaf,,vm_between_group_ratio,0.08955442999012057
adult,1,Rashomon,all,kNN,n_neighbors,,vm_between_group_ratio,0.5240993534117142
adult,1,Rashomon,all,kNN,weights,,vm_between_group_ratio,0.11434821002583896
adult,1,Rashomon,all,kNN,p,,vm_between_group_ratio,0.00019500793308241485
adult,1,Rashomon,HH,GBM,learning_rate,,vm_between_group_ratio,0.4431204871398901
adult,1,Rashomon,HH,GBM,max_depth,,vm_between_group_ratio,0.3224314013965721
adult,1,Rashomon,HH,GBM,n_estimators,,vm_between_group_ratio,0.10235464964992942
adult,1,Rashomon,HH,GBM,subsample,,vm_between_group_ratio,0.0022532881065546032
adult,1,Rashomon,HH,LogReg,C,,vm_between_group_ratio,0.17605909831811903
adult,1,Rashomon,HH,LogReg,l1_ratio,,vm_between_group_ratio,0.03514891031331147
adult,1,Rashomon,HH,MLP,learning_rate_init,,vm_between_group_ratio,0.40665329300085146
adult,1,Rashomon,HH,MLP,hidden_layer_sizes,,vm_between_group_ratio,0.14304871310844783
adult,1,Rashomon,HH,MLP,alpha,,vm_between_group_ratio,0.10824619270139217
adult,1,Rashomon,HH,MLP,activation,,vm_between_group_ratio,0.01567543852479847
adult,1,Rashomon,HH,RF,max_features,,vm_between_group_ratio,0.6545106866054335
adult,1,Rashomon,HH,RF,n_estimators,,vm_between_group_ratio,0.2214527478083148
adult,1,Rashomon,HH,RF,min_samples_split,,vm_between_group_ratio,0.13169656416753162
adult,1,Rashomon,HH,RF,max_depth,,vm_between_group_ratio,0.07258982853463153
adult,1,Rashomon,HH,RF,min_samples_leaf,,vm_between_group_ratio,0.06726908048863917
adult,1,Rashomon,HH,kNN,p,,vm_between_group_ratio,0.4924354178795923
adult,1,Rashomon,HH,kNN,n_neighbors,,vm_between_group_ratio,0.13976026887734175
adult,1,Rashomon,HH,kNN,weights,,vm_between_group_ratio,0.026365299068550917
adult,1,Rashomon,non_HH,GBM,max_depth,,vm_between_group_ratio,0.23107412444711137
adult,1,Rashomon,non_HH,GBM,learning_rate,,vm_between_group_ratio,0.1968244109402378
adult,1,Rashomon,non_HH,GBM,n_estimators,,vm_between_group_ratio,0.06983088555256599
adult,1,Rashomon,non_HH,GBM,subsample,,vm_between_group_ratio,0.01512519422871018
adult,1,Rashomon,non_HH,LogReg,C,,vm_between_group_ratio,0.17460668536648571
adult,1,Rashomon,non_HH,LogReg,l1_ratio,,vm_between_group_ratio,0.03589238270132548
adult,1,Rashomon,non_HH,MLP,learning_rate_init,,vm_between_group_ratio,0.48964715096893735
adult,1,Rashomon,non_HH,MLP,alpha,,vm_between_group_ratio,0.09028912210089525
adult,1,Rashomon,non_HH,MLP,hidden_layer_sizes,,vm_between_group_ratio,0.0889261810151566
adult,1,Rashomon,non_HH,MLP,activation,,vm_between_group_ratio,0.023612847596364128
adult,1,Rashomon,non_HH,RF,max_features,,vm_between_group_ratio,0.5036242155275992
adult,1,Rashomon,non_HH,RF,n_estimators,,vm_between_group_ratio,0.24885481534541823
adult,1,Rashomon,non_HH,RF,max_depth,,vm_between_group_ratio,0.10906832938451226
adult,1,Rashomon,non_HH,RF,min_samples_leaf,,vm_between_group_ratio,0.09217685126573973
adult,1,Rashomon,non_HH,RF,min_samples_split,,vm_between_group_ratio,0.07129571907957012
adult,1,Rashomon,non_HH,kNN,n_neighbors,,vm_between_group_ratio,0.5640285287304325
adult,1,Rashomon,non_HH,kNN,weights,,vm_between_group_ratio,0.1252306508986463
adult,1,Rashomon,non_HH,kNN,p,,vm_between_group_ratio,0.05344000060397968
adult,2,Rashomon,all,__global__,__family__,model_name,ratio_of_sums,0.6946961918975161
adult,2,Rashomon,all,__global__,__family__,model_name,mean_ratio,0.5355118757570845
adult,2,Rashomon,HH,__global__,__family__,model_name,ratio_of_sums,0.7856920079583165
adult,2,Rashomon,HH,__global__,__family__,model_name,mean_ratio,0.7177036409219667
adult,2,Rashomon,non_HH,__global__,__family__,model_name,ratio_of_sums,0.6306320092316184
adult,2,Rashomon,non_HH,__global__,__family__,model_name,mean_ratio,0.5188620194388102
adult,2,Rashomon,all,GBM,learning_rate,,decomp_ratio_of_sums,0.20447927131428867
adult,2,Rashomon,all,GBM,max_depth,,decomp_ratio_of_sums,0.15937952582317969
adult,2,Rashomon,all,GBM,subsample,,decomp_ratio_of_sums,0.10323432166915414
adult,2,Rashomon,all,GBM,n_estimators,,decomp_ratio_of_sums,0.08823087864776348
adult,2,Rashomon,all,LogReg,C,,decomp_ratio_of_sums,0.9900112158990874
adult,2,Rashomon,all,LogReg,l1_ratio,,decomp_ratio_of_sums,0.07587253502653041
adult,2,Rashomon,all,MLP,learning_rate_init,,decomp_ratio_of_sums,0.23680109619781597
adult,2,Rashomon,all,MLP,hidden_layer_sizes,,decomp_ratio_of_sums,0.1910259320437427
adult,2,Rashomon,all,MLP,activation,,decomp_ratio_of_sums,0.1457464464238269
adult,2,Rashomon,all,MLP,alpha,,decomp_ratio_of_sums,0.12991352886092217
adult,2,Rashomon,all,RF,max_depth,,decomp_ratio_of_sums,0.334148795657104
adult,2,Rashomon,all,RF,min_samples_leaf,,decomp_ratio_of_sums,0.1534181536754492
adult,2,Rashomon,all,RF,max_features,,decomp_ratio_of_sums,0.12768384024091683
