model_name,candidate_id,candidate_seed,val_brier,outer_seed,hp_C,hp_activation,hp_alpha,hp_bootstrap,hp_early_stopping,hp_hidden_layer_sizes,hp_l1_ratio,hp_learning_rate,hp_learning_rate_init,hp_max_depth,hp_max_features,hp_max_iter,hp_min_samples_leaf,hp_min_samples_split,hp_n_estimators,hp_n_iter_no_change,hp_n_jobs,hp_n_neighbors,hp_p,hp_penalty,hp_solver,hp_subsample,hp_tol,hp_weights,family,dataset,seed,pool_type,global_row_idx,V_m,V_m_HH,V_m_nonHH
RF,25,27,0.1036348039717473,2,,,,True,,,,,,,sqrt,,1.0,2.0,200.0,,-1.0,,,,,,,,RF,adult,2,full_pool,125,0.009085315274301915,0.015996831637562433,0.007265601409618298
RF,26,28,0.1250563851748487,2,,,,True,,,,,,5.0,log2,,1.0,2.0,500.0,,-1.0,,,,,,,,RF,adult,2,full_pool,126,0.015419481297087641,0.0486379481066018,0.0066734838285539754
RF,27,29,0.0993396078068799,2,,,,True,,,,,,,log2,,2.0,5.0,200.0,,-1.0,,,,,,,,RF,adult,2,full_pool,127,0.0016038379433684713,0.004276545525236153,0.0009001482192403709
RF,28,30,0.1014916703859146,2,,,,True,,,,,,,,,1.0,2.0,500.0,,-1.0,,,,,,,,RF,adult,2,full_pool,128,0.009656244048040096,0.020788895320055577,0.006725159347429267
RF,29,31,0.0961050545527984,2,,,,True,,,,,,20.0,sqrt,,1.0,5.0,500.0,,-1.0,,,,,,,,RF,adult,2,full_pool,129,0.001397792744998979,0.0035499989489499754,0.0008311443768049754
RF,30,32,0.1033288969891144,2,,,,True,,,,,,5.0,,,4.0,10.0,500.0,,-1.0,,,,,,,,RF,adult,2,full_pool,130,0.004760208282623995,0.011939604189877039,0.0028699651600108825
RF,31,33,0.1033598096886299,2,,,,True,,,,,,5.0,,,1.0,10.0,100.0,,-1.0,,,,,,,,RF,adult,2,full_pool,131,0.004843359391394368,0.012250308435166599,0.0028932044381911786
RF,32,34,0.0947072101180799,2,,,,True,,,,,,10.0,,,4.0,10.0,100.0,,-1.0,,,,,,,,RF,adult,2,full_pool,132,0.003925131086044882,0.011393850340091594,0.001958712826476913
RF,33,35,0.1029792851654062,2,,,,True,,,,,,20.0,log2,,4.0,5.0,100.0,,-1.0,,,,,,,,RF,adult,2,full_pool,133,0.0024414289748822394,0.007126979421655564,0.0012077834673650414
RF,34,36,0.0973477344388054,2,,,,True,,,,,,40.0,,,4.0,2.0,100.0,,-1.0,,,,,,,,RF,adult,2,full_pool,134,0.0062155395620685314,0.016041921383230632,0.003628378901537555
RF,35,37,0.0989052854628439,2,,,,True,,,,,,,,,2.0,5.0,200.0,,-1.0,,,,,,,,RF,adult,2,full_pool,135,0.00747347741496764,0.017701498655883514,0.004780570231920345
RF,36,38,0.0971541313517433,2,,,,True,,,,,,,,,4.0,5.0,500.0,,-1.0,,,,,,,,RF,adult,2,full_pool,136,0.005865033967332019,0.01519556362802368,0.003408424839028874
RF,37,39,0.1033457569431597,2,,,,True,,,,,,10.0,sqrt,,2.0,2.0,100.0,,-1.0,,,,,,,,RF,adult,2,full_pool,137,0.0024299328951137445,0.006086768698528846,0.0014671347966069357
RF,38,40,0.1088055201714378,2,,,,True,,,,,,10.0,log2,,2.0,5.0,500.0,,-1.0,,,,,,,,RF,adult,2,full_pool,138,0.004853727073219874,0.013859283553287277,0.0024826792271811773
RF,39,41,0.1034070730921395,2,,,,True,,,,,,5.0,,,1.0,2.0,500.0,,-1.0,,,,,,,,RF,adult,2,full_pool,139,0.004828347415592187,0.01210653100114316,0.002912094760712867
RF,40,42,0.103070943074689,2,,,,True,,,,,,10.0,sqrt,,4.0,5.0,100.0,,-1.0,,,,,,,,RF,adult,2,full_pool,140,0.0021704146186408246,0.005176001714556425,0.0013790819757746459
RF,41,43,0.0946495933279037,2,,,,True,,,,,,10.0,,,2.0,10.0,200.0,,-1.0,,,,,,,,RF,adult,2,full_pool,141,0.00388888077646864,0.011394127189041838,0.0019128453832190572
RF,42,44,0.0987218397476905,2,,,,True,,,,,,,,,1.0,10.0,100.0,,-1.0,,,,,,,,RF,adult,2,full_pool,142,0.007507764769975983,0.01804562783558417,0.004733280197161
RF,43,45,0.1246112798129983,2,,,,True,,,,,,5.0,log2,,4.0,5.0,500.0,,-1.0,,,,,,,,RF,adult,2,full_pool,143,0.015027026901757631,0.04699661240530093,0.006609843908712995
RF,44,46,0.1015554991763079,2,,,,True,,,,,,40.0,log2,,4.0,2.0,100.0,,-1.0,,,,,,,,RF,adult,2,full_pool,144,0.002036184028412591,0.005904415132779364,0.0010177282507725096
RF,45,47,0.0961934166918848,2,,,,True,,,,,,40.0,sqrt,,2.0,2.0,500.0,,-1.0,,,,,,,,RF,adult,2,full_pool,145,0.0014903728107807377,0.0034325646931859573,0.0009790185275042568
RF,46,48,0.0986524930961321,2,,,,True,,,,,,40.0,sqrt,,1.0,5.0,500.0,,-1.0,,,,,,,,RF,adult,2,full_pool,146,0.0047287003304974816,0.010077946533573216,0.0033203122185794434
RF,47,49,0.1033299365952837,2,,,,True,,,,,,5.0,,,4.0,5.0,500.0,,-1.0,,,,,,,,RF,adult,2,full_pool,147,0.004771868134556237,0.01191102222072416,0.0028922201687683288
RF,48,50,0.0976424768210389,2,,,,True,,,,,,20.0,sqrt,,4.0,2.0,500.0,,-1.0,,,,,,,,RF,adult,2,full_pool,148,0.0010324485293542803,0.002533576925457363,0.0006372206211083374
RF,49,51,0.1095624340049637,2,,,,True,,,,,,10.0,log2,,2.0,5.0,200.0,,-1.0,,,,,,,,RF,adult,2,full_pool,149,0.005240695940016104,0.014793612892799452,0.002725535081892879
kNN,0,2,0.1089414021105516,2,,,,,,,,,,,,,,,,,,90.0,1.0,,,,,distance,kNN,adult,2,full_pool,50,0.002666837155505693,0.0060822078296451886,0.001767613737356461
kNN,1,3,0.1085926841434257,2,,,,,,,,,,,,,,,,,,150.0,2.0,,,,,distance,kNN,adult,2,full_pool,51,0.004291672945825035,0.008646157298445298,0.0031451929067800527
kNN,2,4,0.1364320592104298,2,,,,,,,,,,,,,,,,,,3.0,2.0,,,,,distance,kNN,adult,2,full_pool,52,0.023301326918832417,0.04244582392009279,0.01826082570396547
kNN,3,5,0.1168226887466258,2,,,,,,,,,,,,,,,,,,10.0,1.0,,,,,distance,kNN,adult,2,full_pool,53,0.004385376169695703,0.008347511158262603,0.0033421967003148395
kNN,4,6,0.1107776794209348,2,,,,,,,,,,,,,,,,,,15.0,2.0,,,,,distance,kNN,adult,2,full_pool,54,0.0026697896424714915,0.005779277768290292,0.0018511011872578511
kNN,5,7,0.123693315590132,2,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,uniform,kNN,adult,2,full_pool,55,0.010293424006492575,0.018826981584220033,0.008046647434883482
kNN,6,8,0.1079087286692978,2,,,,,,,,,,,,,,,,,,90.0,2.0,,,,,uniform,kNN,adult,2,full_pool,56,0.004832489945668711,0.009147939712147835,0.0036962872139279256
kNN,7,9,0.1080037465451939,2,,,,,,,,,,,,,,,,,,100.0,2.0,,,,,uniform,kNN,adult,2,full_pool,57,0.005010273351174132,0.009551015705495288,0.00381475396239903
kNN,8,10,0.1080298778297261,2,,,,,,,,,,,,,,,,,,30.0,2.0,,,,,distance,kNN,adult,2,full_pool,58,0.0018895156017773385,0.004234434311048315,0.001272128495599179
kNN,9,11,0.1265156507094056,2,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,distance,kNN,adult,2,full_pool,59,0.011616052904995481,0.020960796397048977,0.009155701456680349
kNN,10,12,0.1113443887445076,2,,,,,,,,,,,,,,,,,,20.0,1.0,,,,,distance,kNN,adult,2,full_pool,60,0.0018778449495427689,0.0038613002770417977,0.0013556265289054966
kNN,11,13,0.1090801250630362,2,,,,,,,,,,,,,,,,,,20.0,2.0,,,,,distance,kNN,adult,2,full_pool,61,0.002102318452194015,0.004711055057414936,0.0014154714680701564
kNN,12,14,0.1069834783498822,2,,,,,,,,,,,,,,,,,,50.0,2.0,,,,,uniform,kNN,adult,2,full_pool,62,0.00397314052085825,0.0075392486655986805,0.003034229854533214
kNN,13,15,0.1217197256628109,2,,,,,,,,,,,,,,,,,,5.0,2.0,,,,,uniform,kNN,adult,2,full_pool,63,0.010522396667476057,0.019943827093845,0.008041854530131277
kNN,14,16,0.109582038420855,2,,,,,,,,,,,,,,,,,,150.0,1.0,,,,,uniform,kNN,adult,2,full_pool,64,0.005568102904132995,0.011540021233543817,0.003995773184919181
kNN,15,17,0.1099238724843268,2,,,,,,,,,,,,,,,,,,30.0,1.0,,,,,distance,kNN,adult,2,full_pool,65,0.0016304666897214162,0.003596140226004037,0.0011129299872939733
kNN,16,18,0.1073578558780641,2,,,,,,,,,,,,,,,,,,50.0,2.0,,,,,distance,kNN,adult,2,full_pool,66,0.0022912520535463493,0.004930106108890644,0.0015964755299874482
kNN,17,19,0.107183494273268,2,,,,,,,,,,,,,,,,,,30.0,2.0,,,,,uniform,kNN,adult,2,full_pool,67,0.0033648272214613795,0.006543132037450079,0.0025280202118463544
kNN,18,20,0.115880931142034,2,,,,,,,,,,,,,,,,,,7.0,2.0,,,,,uniform,kNN,adult,2,full_pool,68,0.006897479429341473,0.013943236782598935,0.00504242162884591
kNN,19,21,0.1340066650743281,2,,,,,,,,,,,,,,,,,,3.0,2.0,,,,,uniform,kNN,adult,2,full_pool,69,0.02159964113094352,0.03914081818444777,0.01698127355290981
kNN,20,22,0.110401716847622,2,,,,,,,,,,,,,,,,,,25.0,1.0,,,,,distance,kNN,adult,2,full_pool,70,0.0016787966559950948,0.0036040608786298673,0.0011718992090425024
kNN,21,23,0.11123622342785,2,,,,,,,,,,,,,,,,,,15.0,1.0,,,,,uniform,kNN,adult,2,full_pool,71,0.0033244394947819205,0.006445553523392351,0.002502690088050919
kNN,22,24,0.1092714344762844,2,,,,,,,,,,,,,,,,,,150.0,1.0,,,,,distance,kNN,adult,2,full_pool,72,0.003637041377403,0.008278499121992655,0.0024150049144540105
kNN,23,25,0.10916392670693,2,,,,,,,,,,,,,,,,,,25.0,1.0,,,,,uniform,kNN,adult,2,full_pool,73,0.003145693801256884,0.00619538793783617,0.002342748338684089
kNN,24,26,0.1091523382318686,2,,,,,,,,,,,,,,,,,,50.0,1.0,,,,,distance,kNN,adult,2,full_pool,74,0.0018788192512050222,0.004265723854466834,0.0012503777961111323
kNN,25,27,0.1087871066070677,2,,,,,,,,,,,,,,,,,,150.0,2.0,,,,,uniform,kNN,adult,2,full_pool,75,0.005785997652167139,0.01097372716754382,0.004420134818427721
kNN,26,28,0.1073672236834133,2,,,,,,,,,,,,,,,,,,70.0,2.0,,,,,uniform,kNN,adult,2,full_pool,76,0.004459363267790421,0.00856450361287999,0.003378532316981892
kNN,27,29,0.1118702016583069,2,,,,,,,,,,,,,,,,,,10.0,2.0,,,,,uniform,kNN,adult,2,full_pool,77,0.0046308308251154316,0.009559096245764924,0.003333281569142023
kNN,28,30,0.1145296345582966,2,,,,,,,,,,,,,,,,,,10.0,1.0,,,,,uniform,kNN,adult,2,full_pool,78,0.004506100856992044,0.008655108424204009,0.0034137202276316963
kNN,29,31,0.118122507473662,2,,,,,,,,,,,,,,,,,,7.0,1.0,,,,,uniform,kNN,adult,2,full_pool,79,0.006675290044680722,0.012481208218049055,0.005146666043519733
kNN,30,32,0.1130824348158602,2,,,,,,,,,,,,,,,,,,15.0,1.0,,,,,distance,kNN,adult,2,full_pool,80,0.0025693907921298794,0.005053806507748261,0.0019152759082557
kNN,31,33,0.109007430452907,2,,,,,,,,,,,,,,,,,,70.0,1.0,,,,,distance,kNN,adult,2,full_pool,81,0.0022670937786943685,0.005188099838780506,0.0014980302408260932
kNN,32,34,0.1087258061214044,2,,,,,,,,,,,,,,,,,,50.0,1.0,,,,,uniform,kNN,adult,2,full_pool,82,0.0038210727423506436,0.0075144656829308504,0.002848649617170081
kNN,33,35,0.1089611423891902,2,,,,,,,,,,,,,,,,,,100.0,1.0,,,,,uniform,kNN,adult,2,full_pool,83,0.004855534171290055,0.009837921570821606,0.0035437352904616267
kNN,34,36,0.1139408326254623,2,,,,,,,,,,,,,,,,,,10.0,2.0,,,,,distance,kNN,adult,2,full_pool,84,0.0044445220072573295,0.009257594556740465,0.0031773015610207234
kNN,35,37,0.1390416330537415,2,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,distance,kNN,adult,2,full_pool,85,0.023291752606828916,0.041954727043494386,0.018378030124861906
kNN,36,38,0.1091434355842176,2,,,,,,,,,,,,,,,,,,15.0,2.0,,,,,uniform,kNN,adult,2,full_pool,86,0.0035166123466646455,0.0071455749212521865,0.0025611529128278126
kNN,37,39,0.1241104879051143,2,,,,,,,,,,,,,,,,,,5.0,2.0,,,,,distance,kNN,adult,2,full_pool,87,0.01147244133480931,0.021421663386830693,0.0088529384125391
kNN,38,40,0.1207218984499469,2,,,,,,,,,,,,,,,,,,7.0,1.0,,,,,distance,kNN,adult,2,full_pool,88,0.007219926243934797,0.013257204061380637,0.005630388207426362
kNN,39,41,0.1182353135842335,2,,,,,,,,,,,,,,,,,,7.0,2.0,,,,,distance,kNN,adult,2,full_pool,89,0.007344294884579729,0.014639656702232055,0.005423519420886448
kNN,40,42,0.1088766651234963,2,,,,,,,,,,,,,,,,,,100.0,1.0,,,,,distance,kNN,adult,2,full_pool,90,0.002875326085471317,0.006579988890579469,0.0018999357490947248
kNN,41,43,0.1088664824103456,2,,,,,,,,,,,,,,,,,,30.0,1.0,,,,,uniform,kNN,adult,2,full_pool,91,0.0032169270020775648,0.006404822565795907,0.0023775948712447
kNN,42,44,0.1090054708203956,2,,,,,,,,,,,,,,,,,,90.0,1.0,,,,,uniform,kNN,adult,2,full_pool,92,0.004643226230270298,0.009313494508370292,0.003413604322315871
kNN,43,45,0.1362245652346993,2,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,uniform,kNN,adult,2,full_pool,93,0.02098573232761647,0.03797521853513021,0.01651261789356785
kNN,44,46,0.1083849037650688,2,,,,,,,,,,,,,,,,,,25.0,2.0,,,,,distance,kNN,adult,2,full_pool,94,0.0019256129764848098,0.004326458042117894,0.0012935011759379383
kNN,45,47,0.1088914329167023,2,,,,,,,,,,,,,,,,,,70.0,1.0,,,,,uniform,kNN,adult,2,full_pool,95,0.004271835851003834,0.00849536862444882,0.0031598336879708594
kNN,46,48,0.1077825263588904,2,,,,,,,,,,,,,,,,,,20.0,2.0,,,,,uniform,kNN,adult,2,full_pool,96,0.0032818633548645057,0.006474192944891896,0.0024413638016127586
kNN,47,49,0.1098664141672637,2,,,,,,,,,,,,,,,,,,20.0,1.0,,,,,uniform,kNN,adult,2,full_pool,97,0.0030237029010354885,0.0059186454092378035,0.002261501563042483
kNN,48,50,0.1079460954638559,2,,,,,,,,,,,,,,,,,,100.0,2.0,,,,,distance,kNN,adult,2,full_pool,98,0.003413394675378653,0.007090969942533251,0.00244513614131338
kNN,49,51,0.107894006133673,2,,,,,,,,,,,,,,,,,,90.0,2.0,,,,,distance,kNN,adult,2,full_pool,99,0.0032091512364790927,0.006662189834926571,0.0023000103356076245
GBM,0,3,0.0903662640710826,3,,,,,,,,0.05,,3.0,,,,,500.0,,,,,,,0.8,,,GBM,adult,3,full_pool,150,0.0018262083926867065,0.005180147252519145,0.0008999867402130589
GBM,1,4,0.0887173305663946,3,,,,,,,,0.05,,4.0,,,,,500.0,,,,,,,1.0,,,GBM,adult,3,full_pool,151,0.0031841399533761618,0.008830071413775299,0.0016249630615036892
GBM,2,5,0.0888037792797755,3,,,,,,,,0.1,,5.0,,,,,200.0,,,,,,,1.0,,,GBM,adult,3,full_pool,152,0.003936237291888319,0.010674439464737348,0.0020754196049643675
GBM,3,6,0.0934209249289599,3,,,,,,,,0.2,,4.0,,,,,500.0,,,,,,,1.0,,,GBM,adult,3,full_pool,153,0.009325433542686327,0.020871993683395755,0.006136742734396356
GBM,4,7,0.0916165944536012,3,,,,,,,,0.05,,4.0,,,,,200.0,,,,,,,0.6,,,GBM,adult,3,full_pool,154,0.0014568662787657366,0.003978997741969363,0.0007603560353676359
GBM,5,8,0.119894802812287,3,,,,,,,,0.01,,3.0,,,,,100.0,,,,,,,0.6,,,GBM,adult,3,full_pool,155,0.016709916491652297,0.048412066590211356,0.00795507059898687
GBM,6,9,0.0928432124875894,3,,,,,,,,0.1,,3.0,,,,,100.0,,,,,,,0.6,,,GBM,adult,3,full_pool,156,0.0012115397221780944,0.003368661139771096,0.0006158304240995048
GBM,7,10,0.0930438588609466,3,,,,,,,,0.2,,2.0,,,,,100.0,,,,,,,1.0,,,GBM,adult,3,full_pool,157,0.0014548325451542955,0.004110676892302688,0.0007213962355694883
GBM,8,11,0.091109317731134,3,,,,,,,,0.2,,5.0,,,,,100.0,,,,,,,0.8,,,GBM,adult,3,full_pool,158,0.00512261443253466,0.011788809143691294,0.003281682281080039
GBM,9,12,0.0920131884299079,3,,,,,,,,0.1,,5.0,,,,,500.0,,,,,,,0.8,,,GBM,adult,3,full_pool,159,0.007376509174442148,0.01667592983429059,0.004808386996137822
GBM,10,13,0.0903386699765307,3,,,,,,,,0.2,,4.0,,,,,200.0,,,,,,,1.0,,,GBM,adult,3,full_pool,160,0.0052063701814498865,0.012666061208420969,0.00314630658497479
GBM,11,14,0.090782168824974,3,,,,,,,,0.1,,5.0,,,,,500.0,,,,,,,1.0,,,GBM,adult,3,full_pool,161,0.007023838452658906,0.017643132177847045,0.004091220956245096
GBM,12,15,0.0917686822146193,3,,,,,,,,0.1,,2.0,,,,,500.0,,,,,,,0.6,,,GBM,adult,3,full_pool,162,0.0023546119651882092,0.00613913702342596,0.0013094798981582152
GBM,13,16,0.0889665435803166,3,,,,,,,,0.05,,5.0,,,,,500.0,,,,,,,1.0,,,GBM,adult,3,full_pool,163,0.004299066523500971,0.011566391770406987,0.0022921265402273817
GBM,14,17,0.1006726021440626,3,,,,,,,,0.01,,2.0,,,,,500.0,,,,,,,0.8,,,GBM,adult,3,full_pool,164,0.0032245610212354382,0.008597673560142717,0.0017407256316534666
GBM,15,18,0.0928178968784725,3,,,,,,,,0.05,,3.0,,,,,200.0,,,,,,,1.0,,,GBM,adult,3,full_pool,165,0.0010196275116859934,0.002730876373359193,0.0005470500990697767
GBM,16,19,0.0963341093887659,3,,,,,,,,0.1,,2.0,,,,,100.0,,,,,,,0.8,,,GBM,adult,3,full_pool,166,0.0016831411787952622,0.004708595219883672,0.0008476336878924668
GBM,17,20,0.0891819356181325,3,,,,,,,,0.1,,5.0,,,,,100.0,,,,,,,1.0,,,GBM,adult,3,full_pool,167,0.002357167111703439,0.0064800611721892,0.0012185912731839227
GBM,18,21,0.0939011481702831,3,,,,,,,,0.1,,2.0,,,,,200.0,,,,,,,0.8,,,GBM,adult,3,full_pool,168,0.0016796732006313419,0.004920760757298973,0.0007846164932772757
GBM,19,22,0.093611841561303,3,,,,,,,,0.2,,3.0,,,,,500.0,,,,,,,0.6,,,GBM,adult,3,full_pool,169,0.00691124369719385,0.015639187011048175,0.004500940344419451
GBM,20,23,0.0931251669007151,3,,,,,,,,0.05,,3.0,,,,,200.0,,,,,,,0.6,,,GBM,adult,3,full_pool,170,0.0011357915429040452,0.003341247164772444,0.000526734301280297
GBM,21,24,0.0968095460185616,3,,,,,,,,0.01,,3.0,,,,,500.0,,,,,,,0.8,,,GBM,adult,3,full_pool,171,0.0015291575687911348,0.004173059299823114,0.0007990193245845241
GBM,22,25,0.0963420153047357,3,,,,,,,,0.05,,2.0,,,,,200.0,,,,,,,0.8,,,GBM,adult,3,full_pool,172,0.0016921367808127399,0.004584748776556638,0.0008933148658548563
GBM,23,26,0.1271624810444886,3,,,,,,,,0.01,,2.0,,,,,100.0,,,,,,,1.0,,,GBM,adult,3,full_pool,173,0.022554903760427302,0.06614436531503941,0.010517265389891704
