dataset,family,subset,pool_type,hp,n_seeds,mean_importance,std_importance,mean_rank,importance_type
adult,GBM,all,Rashomon,subsample,10,0.04368257931022244,0.048021400505563513,3.5,V_m
adult,GBM,all,Rashomon,learning_rate,10,0.13794416873773296,0.06286339181326973,2.9,decomposition
adult,GBM,all,Rashomon,max_depth,10,0.22528314757592788,0.04323528137114132,1.1,decomposition
adult,GBM,all,Rashomon,n_estimators,10,0.11463457991242995,0.024364417468281434,3.1,decomposition
adult,GBM,all,Rashomon,subsample,10,0.11610427728909496,0.017056391090190432,2.9,decomposition
adult,GBM,all,full_pool,learning_rate,10,0.32678060729489056,0.07606119639924248,1.0,V_m
adult,GBM,all,full_pool,max_depth,10,0.031149219220253647,0.02067393842511188,3.0,V_m
adult,GBM,all,full_pool,n_estimators,10,0.07700082769029058,0.05667390951533656,2.4,V_m
adult,GBM,all,full_pool,subsample,10,0.0165362192034799,0.011826681367011555,3.6,V_m
adult,GBM,all,full_pool,learning_rate,10,0.5092613708357545,0.0664672829545253,1.0,decomposition
adult,GBM,all,full_pool,max_depth,10,0.1355445953517139,0.06152730650424824,2.6,decomposition
adult,GBM,all,full_pool,n_estimators,10,0.16041118025422887,0.05493835094438352,2.4,decomposition
adult,GBM,all,full_pool,subsample,10,0.04059201934360074,0.021577115944839804,4.0,decomposition
adult,GBM,non_HH,Rashomon,learning_rate,10,0.22667434013112633,0.08930626193518318,1.4,V_m
adult,GBM,non_HH,Rashomon,max_depth,10,0.11739415448206776,0.08493581508267088,2.4,V_m
adult,GBM,non_HH,Rashomon,n_estimators,10,0.10474855212059928,0.08635383274482863,2.6,V_m
adult,GBM,non_HH,Rashomon,subsample,10,0.05098316401045131,0.043829755838929764,3.6,V_m
adult,GBM,non_HH,Rashomon,learning_rate,10,0.13897934404174597,0.06256770960731899,2.8,decomposition
adult,GBM,non_HH,Rashomon,max_depth,10,0.2089968602222941,0.04131529953207188,1.1,decomposition
adult,GBM,non_HH,Rashomon,n_estimators,10,0.11631067022252059,0.024882745657440426,3.0,decomposition
adult,GBM,non_HH,Rashomon,subsample,10,0.1120104597839843,0.014916934771400126,3.1,decomposition
adult,GBM,non_HH,full_pool,learning_rate,10,0.2932069950697874,0.06715624831088347,1.0,V_m
adult,GBM,non_HH,full_pool,max_depth,10,0.038192316668097345,0.029104072341824203,2.7,V_m
adult,GBM,non_HH,full_pool,n_estimators,10,0.05310779651764928,0.04453782294806033,2.6,V_m
adult,GBM,non_HH,full_pool,subsample,10,0.013630466511107567,0.008622964984809725,3.7,V_m
adult,GBM,non_HH,full_pool,learning_rate,10,0.46896474052147985,0.06705263407850366,1.0,decomposition
adult,GBM,non_HH,full_pool,max_depth,10,0.14096747894993028,0.05629485041585525,2.6,decomposition
adult,GBM,non_HH,full_pool,n_estimators,10,0.15634217058524863,0.05203567633089822,2.4,decomposition
adult,GBM,non_HH,full_pool,subsample,10,0.042539831488229214,0.02107321977777189,4.0,decomposition
adult,LogReg,HH,Rashomon,C,10,0.9391306587798782,0.06654298177424012,1.0,V_m
adult,LogReg,HH,Rashomon,l1_ratio,10,0.10629683796059228,0.05136603969708236,2.0,V_m
adult,LogReg,HH,Rashomon,C,10,0.9676997703337937,0.02651726725407846,1.0,decomposition
adult,LogReg,HH,Rashomon,l1_ratio,10,0.10075427515309184,0.0541917933497876,2.0,decomposition
adult,LogReg,HH,full_pool,C,10,0.9395926739501632,0.04375489465011957,1.0,V_m
adult,LogReg,HH,full_pool,l1_ratio,10,0.05390410988128721,0.01953557569045547,2.0,V_m
adult,LogReg,HH,full_pool,C,10,0.9776188159874899,0.011892762593757352,1.0,decomposition
adult,LogReg,HH,full_pool,l1_ratio,10,0.05178940427665742,0.021571875903470556,2.0,decomposition
adult,LogReg,all,Rashomon,C,10,0.921325687378056,0.06989507821701872,1.0,V_m
adult,LogReg,all,Rashomon,l1_ratio,10,0.11194120862276111,0.059018583139592795,2.0,V_m
adult,LogReg,all,Rashomon,C,10,0.9672703301157248,0.022546210337018844,1.0,decomposition
adult,LogReg,all,Rashomon,l1_ratio,10,0.1005643614668641,0.05333003319648769,2.0,decomposition
adult,LogReg,all,full_pool,C,10,0.93677095183348,0.045586222982349156,1.0,V_m
adult,LogReg,all,full_pool,l1_ratio,10,0.05529200139568589,0.01875185205966237,2.0,V_m
adult,LogReg,all,full_pool,C,10,0.9753689607035817,0.012758954442056894,1.0,decomposition
adult,LogReg,all,full_pool,l1_ratio,10,0.052215327273106696,0.021162993042514275,2.0,decomposition
adult,LogReg,non_HH,Rashomon,C,10,0.9164880612934599,0.07088648276241058,1.0,V_m
adult,LogReg,non_HH,Rashomon,l1_ratio,10,0.11319066860755156,0.060537999183970854,2.0,V_m
adult,LogReg,non_HH,Rashomon,C,10,0.9668578639138747,0.022066544252227205,1.0,decomposition
adult,LogReg,non_HH,Rashomon,l1_ratio,10,0.10056172275868576,0.05314759532655718,2.0,decomposition
adult,LogReg,non_HH,full_pool,C,10,0.929301021458991,0.0495910495608924,1.0,V_m
adult,LogReg,non_HH,full_pool,l1_ratio,10,0.05810944869468151,0.017608643875726505,2.0,V_m
adult,LogReg,non_HH,full_pool,C,10,0.9713972792675571,0.014245186462512223,1.0,decomposition
adult,LogReg,non_HH,full_pool,l1_ratio,10,0.05298042477223197,0.020501368353952408,2.0,decomposition
adult,MLP,HH,Rashomon,activation,10,0.1238413025812918,0.08265010679604125,2.9,V_m
adult,MLP,HH,Rashomon,alpha,10,0.12939345937515284,0.12730752688939415,3.3,V_m
adult,MLP,HH,Rashomon,hidden_layer_sizes,10,0.16942181993401004,0.11004755565235838,2.5,V_m
adult,MLP,HH,Rashomon,learning_rate_init,10,0.4374696914444698,0.16399360065222873,1.3,V_m
adult,MLP,HH,Rashomon,activation,10,0.14309173519133006,0.03272612478984044,2.8,decomposition
adult,MLP,HH,Rashomon,alpha,10,0.12775089639752293,0.039563627998934585,3.3,decomposition
adult,MLP,HH,Rashomon,hidden_layer_sizes,10,0.1615954476418645,0.026237794774666968,2.0,decomposition
adult,MLP,HH,Rashomon,learning_rate_init,10,0.18039528911311167,0.048171876235472776,1.9,decomposition
adult,MLP,HH,full_pool,activation,10,0.04401705897005789,0.035700707008988475,3.4,V_m
adult,MLP,HH,full_pool,alpha,10,0.05445730804690905,0.04479229308023289,3.1,V_m
adult,MLP,HH,full_pool,hidden_layer_sizes,10,0.0943266385246014,0.045603058969886624,2.5,V_m
adult,MLP,HH,full_pool,learning_rate_init,10,0.24536770281867284,0.0641848896382323,1.0,V_m
adult,MLP,HH,full_pool,activation,10,0.0612942394073134,0.01237219195692776,3.4,decomposition
adult,MLP,HH,full_pool,alpha,10,0.06121412077725569,0.025549884342806767,3.3,decomposition
adult,MLP,HH,full_pool,hidden_layer_sizes,10,0.08377683738950818,0.017844533878708588,2.3,decomposition
adult,MLP,HH,full_pool,learning_rate_init,10,0.22619037848159165,0.040001865122290335,1.0,decomposition
adult,MLP,all,Rashomon,activation,10,0.11249104003768096,0.06845615972352401,3.1,V_m
adult,MLP,all,Rashomon,alpha,10,0.1380601178930192,0.14231817727173512,3.1,V_m
adult,MLP,all,Rashomon,hidden_layer_sizes,10,0.15880062483867077,0.1162645597047598,2.6,V_m
adult,MLP,all,Rashomon,learning_rate_init,10,0.5129375452398811,0.1795730107624258,1.2,V_m
adult,MLP,all,Rashomon,activation,10,0.11413086790521847,0.025539399666485715,3.4,decomposition
adult,MLP,all,Rashomon,alpha,10,0.12329257417341041,0.03263733410846106,3.2,decomposition
adult,MLP,all,Rashomon,hidden_layer_sizes,10,0.16382926744118603,0.023421413455998456,1.8,decomposition
adult,MLP,all,Rashomon,learning_rate_init,10,0.16346442926178434,0.03744318985731273,1.6,decomposition
adult,MLP,all,full_pool,activation,10,0.030734474616484257,0.026460045847873793,3.7,V_m
adult,MLP,all,full_pool,alpha,10,0.05445953147012239,0.0454837238170139,3.0,V_m
adult,MLP,all,full_pool,hidden_layer_sizes,10,0.09038035413171115,0.039837611624829176,2.3,V_m
adult,MLP,all,full_pool,learning_rate_init,10,0.2988585930871606,0.06103893332654423,1.0,V_m
adult,MLP,all,full_pool,activation,10,0.05993144621139673,0.010103071995611734,3.3,decomposition
adult,MLP,all,full_pool,alpha,10,0.05987389876622362,0.024244483106936766,3.4,decomposition
adult,MLP,all,full_pool,hidden_layer_sizes,10,0.08342366565145592,0.01727289155538629,2.3,decomposition
adult,MLP,all,full_pool,learning_rate_init,10,0.22230290386893353,0.03602967932482797,1.0,decomposition
adult,MLP,non_HH,Rashomon,activation,10,0.10604182701374117,0.060072829939632276,3.1,V_m
adult,MLP,non_HH,Rashomon,alpha,10,0.14009814469644705,0.14710283783378097,3.1,V_m
adult,MLP,non_HH,Rashomon,hidden_layer_sizes,10,0.1559696843088317,0.11618827780628205,2.6,V_m
adult,MLP,non_HH,Rashomon,learning_rate_init,10,0.5200472380612757,0.18385412074806914,1.2,V_m
adult,MLP,non_HH,Rashomon,activation,10,0.10394691334505671,0.023425446776971785,3.5,decomposition
adult,MLP,non_HH,Rashomon,alpha,10,0.1218503161100803,0.03052342309549492,3.2,decomposition
adult,MLP,non_HH,Rashomon,hidden_layer_sizes,10,0.16462192879890788,0.0229627479463363,1.6,decomposition
adult,MLP,non_HH,Rashomon,learning_rate_init,10,0.15752271202724694,0.033954553930738804,1.7,decomposition
adult,MLP,non_HH,full_pool,activation,10,0.02150833942900926,0.024631963213060423,3.9,V_m
adult,MLP,non_HH,full_pool,alpha,10,0.05437408829755641,0.04222061468898414,2.8,V_m
adult,MLP,non_HH,full_pool,hidden_layer_sizes,10,0.08697951228169833,0.03567877683227229,2.3,V_m
adult,MLP,non_HH,full_pool,learning_rate_init,10,0.33040042548206944,0.06395155799694463,1.0,V_m
