dataset,pool_type,family,hp,mean_delta,std_delta,n_seeds
german,Rashomon,MLP,alpha,0.0008472958715966261,0.014235638712835995,6
german,Rashomon,MLP,hidden_layer_sizes,-0.01825338326839625,0.03636535010874256,6
german,Rashomon,MLP,learning_rate_init,0.06431011958967066,0.08038431272612676,6
german,Rashomon,RF,max_depth,-0.027616894294985202,0.020867727350155595,6
german,Rashomon,RF,max_features,0.0374296175580764,0.06502026011653814,6
german,Rashomon,RF,min_samples_leaf,0.004445974340103284,0.05308981633304552,6
german,Rashomon,RF,min_samples_split,-0.007655187707693929,0.0290301631123283,6
german,Rashomon,RF,n_estimators,-0.003485478578229047,0.012564953562818771,6
german,Rashomon,kNN,n_neighbors,-0.010111123924099982,0.16736651119336793,6
german,Rashomon,kNN,p,0.003204231887340226,0.14033316162156412,6
german,Rashomon,kNN,weights,-0.0031481021230326824,0.02404631786813175,6
german,full_pool,GBM,learning_rate,0.06859083837959795,0.07888816051366976,8
german,full_pool,GBM,max_depth,-0.014551775280620823,0.02095027472401495,8
german,full_pool,GBM,n_estimators,0.025167415521787126,0.020033740951585007,8
german,full_pool,GBM,subsample,0.014995325371358175,0.04558498730828851,8
german,full_pool,LogReg,C,-0.0009742394619400435,0.0055504002376879896,8
german,full_pool,LogReg,l1_ratio,0.0004917985340171791,0.004449223760610408,8
german,full_pool,MLP,activation,0.0002497847492165977,0.009349752818447642,8
german,full_pool,MLP,alpha,-0.004533231644994893,0.017114668289417368,8
german,full_pool,MLP,hidden_layer_sizes,-0.0019494019818435651,0.009267235833271381,8
german,full_pool,MLP,learning_rate_init,0.004816332330663926,0.05790385787968831,8
german,full_pool,RF,max_depth,0.017760129173720447,0.07412218477935527,8
german,full_pool,RF,max_features,0.031066463282069356,0.03315503234772378,8
german,full_pool,RF,min_samples_leaf,-0.0050409425618445376,0.020458791770414302,8
german,full_pool,RF,min_samples_split,-0.00045084372790114803,0.01681368568539537,8
german,full_pool,RF,n_estimators,-0.0033850299282611506,0.005355374962710469,8
german,full_pool,kNN,n_neighbors,-0.006279577145373139,0.08331415082436053,8
german,full_pool,kNN,p,0.015341270237921301,0.055283933831471406,8
german,full_pool,kNN,weights,-0.004300546657571413,0.004509294636660116,8
