dataset,seed,pool_type,subset,family,hyperparameter,value_or_group,metric_name,metric_value
compas,1,Rashomon,HH,MLP,alpha,,decomp_ratio_of_sums,0.07725559006812303
compas,1,Rashomon,HH,RF,max_depth,,decomp_ratio_of_sums,0.5766600040033653
compas,1,Rashomon,HH,RF,max_features,,decomp_ratio_of_sums,0.2852019709892233
compas,1,Rashomon,HH,RF,min_samples_leaf,,decomp_ratio_of_sums,0.12147634424223935
compas,1,Rashomon,HH,RF,n_estimators,,decomp_ratio_of_sums,0.08517429570207027
compas,1,Rashomon,HH,RF,min_samples_split,,decomp_ratio_of_sums,0.02765490098558817
compas,1,Rashomon,HH,kNN,n_neighbors,,decomp_ratio_of_sums,0.801756690005022
compas,1,Rashomon,HH,kNN,weights,,decomp_ratio_of_sums,0.16842710045079656
compas,1,Rashomon,HH,kNN,p,,decomp_ratio_of_sums,0.023751185000269792
compas,1,Rashomon,non_HH,GBM,learning_rate,,decomp_ratio_of_sums,0.2568475462345481
compas,1,Rashomon,non_HH,GBM,max_depth,,decomp_ratio_of_sums,0.19156800953217973
compas,1,Rashomon,non_HH,GBM,subsample,,decomp_ratio_of_sums,0.07529849407727843
compas,1,Rashomon,non_HH,GBM,n_estimators,,decomp_ratio_of_sums,0.06888206644793307
compas,1,Rashomon,non_HH,LogReg,C,,decomp_ratio_of_sums,0.9086764429410009
compas,1,Rashomon,non_HH,LogReg,l1_ratio,,decomp_ratio_of_sums,0.08401413009544542
compas,1,Rashomon,non_HH,MLP,learning_rate_init,,decomp_ratio_of_sums,0.28527169421675175
compas,1,Rashomon,non_HH,MLP,hidden_layer_sizes,,decomp_ratio_of_sums,0.14649544769027129
compas,1,Rashomon,non_HH,MLP,activation,,decomp_ratio_of_sums,0.1370814973078386
compas,1,Rashomon,non_HH,MLP,alpha,,decomp_ratio_of_sums,0.10569378089535479
compas,1,Rashomon,non_HH,RF,max_depth,,decomp_ratio_of_sums,0.6216983737642947
compas,1,Rashomon,non_HH,RF,max_features,,decomp_ratio_of_sums,0.27669636683597526
compas,1,Rashomon,non_HH,RF,min_samples_leaf,,decomp_ratio_of_sums,0.13875615328962118
compas,1,Rashomon,non_HH,RF,n_estimators,,decomp_ratio_of_sums,0.08638374897344572
compas,1,Rashomon,non_HH,RF,min_samples_split,,decomp_ratio_of_sums,0.037740151846991976
compas,1,Rashomon,non_HH,kNN,n_neighbors,,decomp_ratio_of_sums,0.7535106553897991
compas,1,Rashomon,non_HH,kNN,weights,,decomp_ratio_of_sums,0.2337315271232783
compas,1,Rashomon,non_HH,kNN,p,,decomp_ratio_of_sums,0.02693550082086565
compas,1,Rashomon,all,GBM,max_depth,,vm_between_group_ratio,0.2030833618705631
compas,1,Rashomon,all,GBM,n_estimators,,vm_between_group_ratio,0.1454000044878641
compas,1,Rashomon,all,GBM,learning_rate,,vm_between_group_ratio,0.02307875107915896
