hp_name,ratio_of_sums,n_values,n_models,mean_V_m,grouping_type,n_groups,min_group_size,dataset,seed,family,pool_type,subset,K_actual
min_samples_leaf,0.17999396695117603,3,25,0.002687442160174873,numeric_exact,3,7,adult,2,RF,Rashomon,all,25
n_estimators,0.03309270217780176,3,25,0.002687442160174873,numeric_exact,3,5,adult,2,RF,Rashomon,all,25
min_samples_split,0.012967290865299864,3,25,0.002687442160174873,numeric_exact,3,6,adult,2,RF,Rashomon,all,25
max_depth,0.00837712675340655,3,16,0.00242387611058914,numeric_exact,3,4,adult,2,RF,Rashomon,all,25
n_neighbors,0.7061153823096257,3,25,0.001785159007688738,numeric_tertile,3,5,adult,2,kNN,Rashomon,all,25
weights,0.046363490472042974,2,25,0.001785159007688738,categorical_exact,2,11,adult,2,kNN,Rashomon,all,25
p,0.03981475101998358,2,25,0.001785159007688738,numeric_exact,2,10,adult,2,kNN,Rashomon,all,25
n_estimators,0.2624291497214236,3,25,0.004457919619511851,numeric_exact,3,7,adult,2,GBM,Rashomon,HH,25
learning_rate,0.2166870764969344,4,25,0.004457919619511851,numeric_exact,4,2,adult,2,GBM,Rashomon,HH,25
max_depth,0.09419710014281334,4,25,0.004457919619511851,numeric_exact,4,2,adult,2,GBM,Rashomon,HH,25
subsample,0.01240975368459715,3,25,0.004457919619511851,numeric_exact,3,5,adult,2,GBM,Rashomon,HH,25
C,0.4680468228143364,3,25,0.00023138938609758655,numeric_tertile,3,6,adult,2,LogReg,Rashomon,HH,25
l1_ratio,0.05887614169826831,3,25,0.00023138938609758655,numeric_tertile,3,4,adult,2,LogReg,Rashomon,HH,25
learning_rate_init,0.5822786005004693,3,25,0.004449419520384124,numeric_exact,3,7,adult,2,MLP,Rashomon,HH,25
hidden_layer_sizes,0.22925828038972138,5,25,0.004449419520384124,categorical_exact,5,3,adult,2,MLP,Rashomon,HH,25
activation,0.18288220978303382,2,25,0.004449419520384124,categorical_exact,2,10,adult,2,MLP,Rashomon,HH,25
alpha,0.16192584842913557,4,25,0.004449419520384124,numeric_exact,4,2,adult,2,MLP,Rashomon,HH,25
max_features,0.7828292105486218,3,25,0.009676888637455005,categorical_exact,3,3,adult,2,RF,Rashomon,HH,25
n_estimators,0.1852603185464802,3,25,0.009676888637455005,numeric_exact,3,5,adult,2,RF,Rashomon,HH,25
max_depth,0.13579231757739083,3,16,0.009374132304234995,numeric_exact,3,4,adult,2,RF,Rashomon,HH,25
min_samples_leaf,0.04856577335207811,3,25,0.009676888637455005,numeric_exact,3,7,adult,2,RF,Rashomon,HH,25
min_samples_split,0.007955445485742717,3,25,0.009676888637455005,numeric_exact,3,6,adult,2,RF,Rashomon,HH,25
n_neighbors,0.49436567277907917,3,25,0.006787141850939982,numeric_tertile,3,5,adult,2,kNN,Rashomon,HH,25
p,0.07149208170719983,2,25,0.006787141850939982,numeric_exact,2,10,adult,2,kNN,Rashomon,HH,25
weights,0.058823141955617664,2,25,0.006787141850939982,categorical_exact,2,11,adult,2,kNN,Rashomon,HH,25
n_estimators,0.1986611425646777,3,25,0.0012017881372760456,numeric_exact,3,7,adult,2,GBM,Rashomon,non_HH,25
learning_rate,0.16646714363687196,4,25,0.0012017881372760456,numeric_exact,4,2,adult,2,GBM,Rashomon,non_HH,25
max_depth,0.02959902340254496,4,25,0.0012017881372760456,numeric_exact,4,2,adult,2,GBM,Rashomon,non_HH,25
subsample,0.018847122116502593,3,25,0.0012017881372760456,numeric_exact,3,5,adult,2,GBM,Rashomon,non_HH,25
C,0.4743456948588083,3,25,5.9831853467294914e-05,numeric_tertile,3,6,adult,2,LogReg,Rashomon,non_HH,25
l1_ratio,0.055635643438845056,3,25,5.9831853467294914e-05,numeric_tertile,3,4,adult,2,LogReg,Rashomon,non_HH,25
learning_rate_init,0.71214759549128,3,25,0.0010895343207490372,numeric_exact,3,7,adult,2,MLP,Rashomon,non_HH,25
hidden_layer_sizes,0.16209074037904203,5,25,0.0010895343207490372,categorical_exact,5,3,adult,2,MLP,Rashomon,non_HH,25
activation,0.11352697828770729,2,25,0.0010895343207490372,categorical_exact,2,10,adult,2,MLP,Rashomon,non_HH,25
alpha,0.09358807597488503,4,25,0.0010895343207490372,numeric_exact,4,2,adult,2,MLP,Rashomon,non_HH,25
min_samples_leaf,0.2804093152801708,3,25,0.0020487015481298327,numeric_exact,3,7,adult,2,RF,Rashomon,non_HH,25
max_features,0.18794344902588925,3,25,0.0020487015481298327,categorical_exact,3,3,adult,2,RF,Rashomon,non_HH,25
max_depth,0.0835008016253424,3,16,0.0017887169589410213,numeric_exact,3,4,adult,2,RF,Rashomon,non_HH,25
min_samples_split,0.012456960751821173,3,25,0.0020487015481298327,numeric_exact,3,6,adult,2,RF,Rashomon,non_HH,25
n_estimators,0.0006993529329362333,3,25,0.0020487015481298327,numeric_exact,3,5,adult,2,RF,Rashomon,non_HH,25
n_neighbors,0.7101610460147769,3,25,0.001328045616360449,numeric_tertile,3,5,adult,2,kNN,Rashomon,non_HH,25
p,0.10267009668478683,2,25,0.001328045616360449,numeric_exact,2,10,adult,2,kNN,Rashomon,non_HH,25
weights,0.03945445230859049,2,25,0.001328045616360449,categorical_exact,2,11,adult,2,kNN,Rashomon,non_HH,25
learning_rate,0.23246076390263096,3,24,0.0015740519519390078,numeric_exact,3,7,adult,3,GBM,Rashomon,all,25
max_depth,0.09079792139846864,4,25,0.0015871351217670961,numeric_exact,4,4,adult,3,GBM,Rashomon,all,25
subsample,0.04443545610378322,3,25,0.0015871351217670961,numeric_exact,3,6,adult,3,GBM,Rashomon,all,25
n_estimators,0.03382954981290283,3,25,0.0015871351217670961,numeric_exact,3,4,adult,3,GBM,Rashomon,all,25
C,0.7015156659335373,3,25,1.1611382608552196e-05,numeric_tertile,3,4,adult,3,LogReg,Rashomon,all,25
l1_ratio,0.10403002424264075,3,25,1.1611382608552196e-05,numeric_tertile,3,5,adult,3,LogReg,Rashomon,all,25
learning_rate_init,0.5576377856504781,3,25,0.0014840243328268319,numeric_exact,3,6,adult,3,MLP,Rashomon,all,25
alpha,0.17690042462394504,4,25,0.0014840243328268319,numeric_exact,4,5,adult,3,MLP,Rashomon,all,25
activation,0.1603784499887996,2,25,0.0014840243328268319,categorical_exact,2,11,adult,3,MLP,Rashomon,all,25
hidden_layer_sizes,0.13361442129412973,5,25,0.0014840243328268319,categorical_exact,5,2,adult,3,MLP,Rashomon,all,25
max_features,0.5737051560925144,3,25,0.0031327855807862996,categorical_exact,3,6,adult,3,RF,Rashomon,all,25
min_samples_leaf,0.15036775766962127,3,25,0.0031327855807862996,numeric_exact,3,6,adult,3,RF,Rashomon,all,25
n_estimators,0.08756813893934288,3,25,0.0031327855807862996,numeric_exact,3,4,adult,3,RF,Rashomon,all,25
max_depth,0.0831193468927496,3,16,0.003352055494756829,numeric_exact,3,2,adult,3,RF,Rashomon,all,25
min_samples_split,0.038070507690379375,3,25,0.0031327855807862996,numeric_exact,3,8,adult,3,RF,Rashomon,all,25
n_neighbors,0.6083236055081254,3,25,0.0014905148749561955,numeric_tertile,3,4,adult,3,kNN,Rashomon,all,25
weights,0.11457625696031659,2,25,0.0014905148749561955,categorical_exact,2,11,adult,3,kNN,Rashomon,all,25
p,0.00010703705154723366,2,25,0.0014905148749561955,numeric_exact,2,10,adult,3,kNN,Rashomon,all,25
learning_rate,0.28295115127877885,3,24,0.005309348727575211,numeric_exact,3,7,adult,3,GBM,Rashomon,HH,25
max_depth,0.1122752151958976,4,25,0.00534675061066213,numeric_exact,4,4,adult,3,GBM,Rashomon,HH,25
subsample,0.011410469098554633,3,25,0.00534675061066213,numeric_exact,3,6,adult,3,GBM,Rashomon,HH,25
n_estimators,0.004701305157408355,3,25,0.00534675061066213,numeric_exact,3,4,adult,3,GBM,Rashomon,HH,25
C,0.7310193285896678,3,25,2.8308174495990124e-05,numeric_tertile,3,4,adult,3,LogReg,Rashomon,HH,25
l1_ratio,0.10380014249020415,3,25,2.8308174495990124e-05,numeric_tertile,3,5,adult,3,LogReg,Rashomon,HH,25
learning_rate_init,0.538742335733656,3,25,0.004483701827790097,numeric_exact,3,6,adult,3,MLP,Rashomon,HH,25
activation,0.17692530629010006,2,25,0.004483701827790097,categorical_exact,2,11,adult,3,MLP,Rashomon,HH,25
hidden_layer_sizes,0.15512782881059847,5,25,0.004483701827790097,categorical_exact,5,2,adult,3,MLP,Rashomon,HH,25
alpha,0.14441976423135222,4,25,0.004483701827790097,numeric_exact,4,5,adult,3,MLP,Rashomon,HH,25
max_features,0.794295119840025,3,25,0.011764224414519917,categorical_exact,3,6,adult,3,RF,Rashomon,HH,25
min_samples_leaf,0.1796733058176865,3,25,0.011764224414519917,numeric_exact,3,6,adult,3,RF,Rashomon,HH,25
n_estimators,0.07482838763573464,3,25,0.011764224414519917,numeric_exact,3,4,adult,3,RF,Rashomon,HH,25
max_depth,0.02110497942939609,3,16,0.012414097462477909,numeric_exact,3,2,adult,3,RF,Rashomon,HH,25
min_samples_split,0.015707606842046456,3,25,0.011764224414519917,numeric_exact,3,8,adult,3,RF,Rashomon,HH,25
n_neighbors,0.29973461891506403,3,25,0.005540258961784758,numeric_tertile,3,4,adult,3,kNN,Rashomon,HH,25
p,0.29524815233053947,2,25,0.005540258961784758,numeric_exact,2,10,adult,3,kNN,Rashomon,HH,25
weights,0.09328609811065171,2,25,0.005540258961784758,categorical_exact,2,11,adult,3,kNN,Rashomon,HH,25
learning_rate,0.20014006128502862,3,24,0.0012295059054385751,numeric_exact,3,7,adult,3,GBM,Rashomon,non_HH,25
max_depth,0.09986112438779424,4,25,0.001240345902364323,numeric_exact,4,4,adult,3,GBM,Rashomon,non_HH,25
subsample,0.08803756422185899,3,25,0.001240345902364323,numeric_exact,3,6,adult,3,GBM,Rashomon,non_HH,25
n_estimators,0.04530311537248713,3,25,0.001240345902364323,numeric_exact,3,4,adult,3,GBM,Rashomon,non_HH,25
C,0.6934213398640089,3,25,1.0071260369382217e-05,numeric_tertile,3,4,adult,3,LogReg,Rashomon,non_HH,25
l1_ratio,0.10416329764424699,3,25,1.0071260369382217e-05,numeric_tertile,3,5,adult,3,LogReg,Rashomon,non_HH,25
learning_rate_init,0.5536443458001576,3,25,0.0012073322562006362,numeric_exact,3,6,adult,3,MLP,Rashomon,non_HH,25
