rule,frequency,label
num__credit_amount > 0.7684 AND cat__employment_4<=X<7 <= 0.5 AND num__residence_since <= 0.585 AND cat__credit_history_critical/other existing credit <= 0.5,0.02,HV_q
num__credit_amount > 0.7684 AND cat__employment_4<=X<7 <= 0.5 AND num__residence_since <= 0.585 AND cat__credit_history_critical/other existing credit > 0.5,0.02,HV_q
num__credit_amount > 0.7684 AND cat__employment_4<=X<7 <= 0.5 AND num__residence_since > 0.585,0.02,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__credit_amount <= 1.063 AND num__credit_amount <= -0.9654,0.02,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__credit_amount > 1.063 AND cat__housing_own > 0.5 AND num__credit_amount <= 2.276,0.02,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__credit_amount > 1.063 AND cat__housing_own > 0.5 AND num__credit_amount > 2.276,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND cat__purpose_radio/tv <= 0.5 AND cat__job_unskilled resident <= 0.5 AND cat__credit_history_existing paid <= 0.5,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND cat__purpose_radio/tv <= 0.5 AND cat__job_unskilled resident <= 0.5 AND cat__credit_history_existing paid > 0.5,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND cat__purpose_radio/tv <= 0.5 AND cat__job_unskilled resident > 0.5,0.02,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__credit_amount > 1.063 AND cat__employment_4<=X<7 <= 0.5 AND num__residence_since <= 0.585,0.02,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__credit_amount > 1.063 AND cat__employment_4<=X<7 <= 0.5 AND num__residence_since > 0.585,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND num__age <= 1.063 AND cat__credit_history_existing paid <= 0.5 AND num__duration <= -0.3838,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND num__age <= 1.063 AND cat__credit_history_existing paid <= 0.5 AND num__duration > -0.3838,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND num__age <= 1.063 AND cat__credit_history_existing paid > 0.5 AND num__credit_amount > -0.8741,0.02,HV_q
cat__other_parties_none <= 0.5 AND cat__employment_1<=X<4 > 0.5 AND num__age <= 0.1562,0.02,HV_q
cat__other_parties_none <= 0.5 AND cat__employment_1<=X<4 > 0.5 AND num__age > 0.1562,0.02,HV_q
cat__other_parties_none > 0.5 AND cat__other_payment_plans_bank <= 0.5 AND num__credit_amount > 1.063 AND num__age <= -0.1029,0.02,HV_q
cat__other_parties_none > 0.5 AND cat__other_payment_plans_bank > 0.5 AND num__credit_amount <= -0.6675,0.02,HV_q
num__credit_amount <= 0.8863 AND num__credit_amount <= -0.6722 AND cat__job_unskilled resident <= 0.5 AND cat__checking_status_no checking <= 0.5,0.02,HV_q
num__credit_amount > 0.8863 AND cat__property_magnitude_car <= 0.5 AND num__age <= 0.7174 AND cat__property_magnitude_no known property <= 0.5,0.02,HV_q
num__credit_amount > 0.8863 AND cat__property_magnitude_car <= 0.5 AND num__age <= 0.7174 AND cat__property_magnitude_no known property > 0.5,0.02,HV_q
cat__other_payment_plans_none <= 0.5 AND num__age <= -0.4483,0.02,HV_q
