rule,frequency,label
num__priors_count > 1.256 AND num__age > -0.1914 AND num__age <= 1.394 AND cat__c_charge_degree_M <= 0.5,0.02,HV_q
num__priors_count > 1.256 AND num__age > -0.1914 AND num__age > 1.394 AND num__priors_count <= 2.084,0.02,HV_q
num__priors_count > 1.256 AND num__age > -0.1914 AND num__age > 1.394 AND num__priors_count > 2.084,0.02,HV_q
num__priors_count <= 1.049 AND num__age > -1.192 AND num__age <= 1.978 AND cat__race_Other > 0.5,0.02,HV_q
num__priors_count <= 1.049 AND num__age > -1.192 AND num__age > 1.978 AND num__priors_count <= 0.01311,0.02,HV_q
num__priors_count <= 1.049 AND num__age > -1.192 AND num__age > 1.978 AND num__priors_count > 0.01311,0.02,HV_q
num__priors_count > 1.049 AND num__age <= -0.108 AND cat__race_African-American <= 0.5 AND cat__race_Caucasian > 0.5,0.02,HV_q
num__priors_count > 1.049 AND num__age > -0.108 AND num__age <= 1.227 AND num__age <= 0.6012,0.02,HV_q
num__priors_count > 1.049 AND num__age > -0.108 AND num__age > 1.227 AND num__age <= 1.644,0.02,HV_q
num__priors_count > 1.049 AND num__age > -0.108 AND num__age > 1.227 AND num__age > 1.644,0.02,HV_q
num__priors_count <= 1.256 AND num__age > -1.026 AND cat__race_Asian <= 0.5 AND cat__race_Other > 0.5,0.02,HV_q
num__priors_count <= 1.256 AND num__age > -1.026 AND cat__race_Asian > 0.5,0.02,HV_q
num__priors_count > 1.256 AND num__age <= -0.2748 AND cat__sex_Female > 0.5,0.02,HV_q
num__priors_count > 1.256 AND num__age > -0.2748 AND num__age <= 0.1423 AND num__priors_count <= 1.98,0.02,HV_q
num__priors_count > 1.256 AND num__age > -0.2748 AND num__age > 0.1423 AND num__age <= 1.435,0.02,HV_q
num__priors_count > 1.256 AND num__age > -0.2748 AND num__age > 0.1423 AND num__age > 1.435,0.02,HV_q
num__age <= -1.192 AND num__priors_count <= -0.6081 AND cat__sex_Male <= 0.5,0.02,HV_q
num__age <= -1.192 AND num__priors_count <= -0.6081 AND cat__sex_Male > 0.5,0.02,HV_q
num__age <= -1.192 AND num__priors_count > -0.6081 AND cat__race_Caucasian <= 0.5,0.02,HV_q
num__age <= -1.192 AND num__priors_count > -0.6081 AND cat__race_Caucasian > 0.5,0.02,HV_q
num__age > -1.192 AND num__priors_count <= 1.049 AND num__age <= 2.728 AND cat__race_Other > 0.5,0.02,HV_q
num__age > -1.192 AND num__priors_count <= 1.049 AND num__age > 2.728 AND cat__c_charge_degree_F <= 0.5,0.02,HV_q
num__age > -1.192 AND num__priors_count <= 1.049 AND num__age > 2.728 AND cat__c_charge_degree_F > 0.5,0.02,HV_q
num__age <= -1.192 AND num__priors_count <= -0.4011 AND cat__sex_Female <= 0.5 AND cat__race_African-American <= 0.5,0.02,HV_q
num__age <= -1.192 AND num__priors_count <= -0.4011 AND cat__sex_Female <= 0.5 AND cat__race_African-American > 0.5,0.02,HV_q
num__age <= -1.192 AND num__priors_count <= -0.4011 AND cat__sex_Female > 0.5,0.02,HV_q
num__age > -1.192 AND num__priors_count <= 1.256 AND cat__race_African-American <= 0.5 AND num__age <= -0.8588,0.02,HV_q
num__age > -1.192 AND num__priors_count <= 1.256 AND cat__race_African-American > 0.5 AND num__age > 2.562,0.02,HV_q
num__age > -1.192 AND num__priors_count > 1.256 AND num__age <= -0.2748 AND cat__sex_Male <= 0.5,0.02,HV_q
num__age > -1.192 AND num__priors_count > 1.256 AND num__age > -0.2748 AND num__age <= 1.227,0.02,HV_q
num__age > -1.192 AND num__priors_count > 1.256 AND num__age > -0.2748 AND num__age > 1.227,0.02,HV_q
num__age <= -1.192 AND num__priors_count <= -0.4011 AND cat__sex_Male <= 0.5,0.02,HV_q
num__age <= -1.192 AND num__priors_count <= -0.4011 AND cat__sex_Male > 0.5 AND cat__race_Caucasian <= 0.5,0.02,HV_q
num__age <= -1.192 AND num__priors_count <= -0.4011 AND cat__sex_Male > 0.5 AND cat__race_Caucasian > 0.5,0.02,HV_q
num__age > -1.192 AND num__priors_count <= 1.049 AND cat__race_Asian <= 0.5 AND cat__race_Other > 0.5,0.02,HV_q
num__age > -1.192 AND num__priors_count <= 1.049 AND cat__race_Asian > 0.5 AND num__age <= -0.9839,0.02,HV_q
num__age > -1.192 AND num__priors_count <= 1.049 AND cat__race_Asian > 0.5 AND num__age > -0.9839,0.02,HV_q
num__age > -1.192 AND num__priors_count > 1.049 AND num__age > -0.2748 AND num__age <= 0.7263,0.02,HV_q
num__age > -1.192 AND num__priors_count > 1.049 AND num__age > -0.2748 AND num__age > 0.7263,0.02,HV_q
num__priors_count <= 1.256 AND num__age > -1.026 AND num__age <= 2.353 AND cat__race_Other > 0.5,0.02,HV_q
num__priors_count <= 1.256 AND num__age > -1.026 AND num__age > 2.353 AND num__age <= 2.728,0.02,HV_q
num__priors_count <= 1.256 AND num__age > -1.026 AND num__age > 2.353 AND num__age > 2.728,0.02,HV_q
num__priors_count > 1.256 AND num__age > -0.2748 AND num__age <= 1.394 AND num__priors_count <= 1.98,0.02,HV_q
num__priors_count > 1.256 AND num__age > -0.2748 AND num__age <= 1.394 AND num__priors_count > 1.98,0.02,HV_q
num__priors_count > 1.256 AND num__age > -0.2748 AND num__age > 1.394 AND num__age <= 1.644,0.02,HV_q
num__priors_count > 1.256 AND num__age > -0.2748 AND num__age > 1.394 AND num__age > 1.644,0.02,HV_q
num__priors_count <= 1.049 AND num__age <= -0.8588 AND num__age <= -1.192 AND num__priors_count <= -0.4011,0.02,HV_q
num__priors_count <= 1.049 AND num__age <= -0.8588 AND num__age <= -1.192 AND num__priors_count > -0.4011,0.02,HV_q
num__priors_count <= 1.049 AND num__age <= -0.8588 AND num__age > -1.192 AND cat__race_African-American <= 0.5,0.02,HV_q
num__priors_count <= 1.049 AND num__age > -0.8588 AND num__age <= 1.978 AND cat__race_Other > 0.5,0.02,HV_q
num__priors_count > 1.049 AND num__age <= -0.108 AND cat__race_African-American <= 0.5 AND num__priors_count > 1.256,0.02,HV_q
num__priors_count > 1.049 AND num__age > -0.108 AND num__age <= 1.31 AND num__age <= 0.2257,0.02,HV_q
num__priors_count > 1.049 AND num__age > -0.108 AND num__age <= 1.31 AND num__age > 0.2257,0.02,HV_q
num__priors_count > 1.049 AND num__age > -0.108 AND num__age > 1.31 AND num__priors_count <= 2.912,0.02,HV_q
num__priors_count > 1.049 AND num__age > -0.108 AND num__age > 1.31 AND num__priors_count > 2.912,0.02,HV_q
num__age <= -1.026 AND num__age <= -1.192 AND num__priors_count <= -0.4011 AND num__age <= -1.276,0.02,HV_q
num__age <= -1.026 AND num__age <= -1.192 AND num__priors_count <= -0.4011 AND num__age > -1.276,0.02,HV_q
num__age <= -1.026 AND num__age > -1.192 AND cat__race_African-American <= 0.5 AND cat__sex_Female <= 0.5,0.02,HV_q
num__age <= -1.026 AND num__age > -1.192 AND cat__race_African-American <= 0.5 AND cat__sex_Female > 0.5,0.02,HV_q
num__age <= -1.026 AND num__age > -1.192 AND cat__race_African-American > 0.5 AND cat__c_charge_degree_M > 0.5,0.02,HV_q
num__age > -1.026 AND num__priors_count <= 1.049 AND cat__race_African-American <= 0.5 AND num__age <= -0.8588,0.02,HV_q
num__age > -1.026 AND num__priors_count <= 1.049 AND cat__race_African-American > 0.5 AND num__age > 2.395,0.02,HV_q
num__age > -1.026 AND num__priors_count > 1.049 AND num__age <= 1.227 AND cat__race_African-American <= 0.5,0.02,HV_q
